Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Conqueror's Blade,2019-05-30,0.0,"2,000,000 .. 5,000,000",Booming Tech,MY.GAMES,2.00E+06,5.00E+06,2.0M,5.0M
Transformice,2015-01-30,0.0,"2,000,000 .. 5,000,000",Atelier 801,Atelier 801,2.00E+06,5.00E+06,2.0M,5.0M
Russian Fishing 4,2021-11-10,0.0,"2,000,000 .. 5,000,000","FishSoft, LLC","FishSoft, LLC",2.00E+06,5.00E+06,2.0M,5.0M
The Cycle,2022-06-08,0.0,"2,000,000 .. 5,000,000",YAGER,YAGER,2.00E+06,5.00E+06,2.0M,5.0M
CRSED: F.O.A.D.,2019-12-12,0.0,"2,000,000 .. 5,000,000",Darkflow Software,Gaijin Distribution KFT,2.00E+06,5.00E+06,2.0M,5.0M
Fishing Planet,2015-08-11,0.0,"2,000,000 .. 5,000,000",Fishing Planet LLC,Fishing Planet LLC,2.00E+06,5.00E+06,2.0M,5.0M
Business Tour - Board Game with Online Multiplayer,2017-07-27,0.0,"2,000,000 .. 5,000,000",Creobit,8Floor,2.00E+06,5.00E+06,2.0M,5.0M
Crossout,2017-07-26,0.0,"2,000,000 .. 5,000,000",Targem Games,Gaijin Distribution KFT,2.00E+06,5.00E+06,2.0M,5.0M
Rec Room,2016-06-01,0.0,"2,000,000 .. 5,000,000",Rec Room,Rec Room,2.00E+06,5.00E+06,2.0M,5.0M
Just Survive,2015-01-15,,"2,000,000 .. 5,000,000",Daybreak Game Company,Daybreak Game Company,2.00E+06,5.00E+06,2.0M,5.0M
Hero Siege,2014-01-29,6.99,"2,000,000 .. 5,000,000",Panic Art Studios Ltd.,Panic Art Studios Ltd.,2.00E+06,5.00E+06,2.0M,5.0M
The Isle,2015-12-01,19.99,"2,000,000 .. 5,000,000",Afterthought LLC,Afterthought LLC,2.00E+06,5.00E+06,2.0M,5.0M
The Crew 2,2018-06-28,49.99,"2,000,000 .. 5,000,000",Ivory Tower,Ubisoft,2.00E+06,5.00E+06,2.0M,5.0M
V Rising,2022-05-17,15.99,"2,000,000 .. 5,000,000",Stunlock Studios,Stunlock Studios,2.00E+06,5.00E+06,2.0M,5.0M
SCUM,2018-08-29,39.99,"2,000,000 .. 5,000,000",Gamepires,Jagex Ltd,2.00E+06,5.00E+06,2.0M,5.0M
Conan Exiles,2018-05-08,39.99,"2,000,000 .. 5,000,000",Funcom,Funcom,2.00E+06,5.00E+06,2.0M,5.0M
Battlefield 1,2020-06-11,9.99,"2,000,000 .. 5,000,000",DICE,Electronic Arts,2.00E+06,5.00E+06,2.0M,5.0M
Guild Wars 2,2022-08-23,0.0,"1,000,000 .. 2,000,000",ArenaNet®,NCSOFT,1.00E+06,2.00E+06,1.0M,2.0M
WildStar,2014-06-03,,"1,000,000 .. 2,000,000",Carbine Studios,NCSOFT,1.00E+06,2.00E+06,1.0M,2.0M
Rising Storm 2: Vietnam,2017-05-30,4.99,"1,000,000 .. 2,000,000","Antimatter Games, Tripwire Interactive",Tripwire Interactive,1.00E+06,2.00E+06,1.0M,2.0M
ArcheAge,2015-03-26,0.0,"1,000,000 .. 2,000,000",XLGAMES,Kakao Games Europe B.V.,1.00E+06,2.00E+06,1.0M,2.0M
DRAGON BALL XENOVERSE 2,2016-10-27,49.99,"1,000,000 .. 2,000,000","QLOC, DIMPS",BANDAI NAMCO Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
TERA - Action MMORPG,2017-01-31,,"1,000,000 .. 2,000,000","Bluehole, Inc.",Gameforge 4D GmbH,1.00E+06,2.00E+06,1.0M,2.0M
Vindictus,2012-06-22,0.0,"1,000,000 .. 2,000,000",devCAT,NEXON Korea Corp. & NEXON America Inc.,1.00E+06,2.00E+06,1.0M,2.0M
WAKFU,2014-09-18,0.0,"1,000,000 .. 2,000,000",Ankama Studio,Ankama Games,1.00E+06,2.00E+06,1.0M,2.0M
Stronghold Kingdoms,2012-02-27,0.0,"1,000,000 .. 2,000,000",FireFly Studios,FireFly Studios,1.00E+06,2.00E+06,1.0M,2.0M
Champions Online,2009-09-01,0.0,"1,000,000 .. 2,000,000",Cryptic Studios,Gearbox Publishing,1.00E+06,2.00E+06,1.0M,2.0M
Fallen Earth Free2Play,2011-10-12,0.0,"1,000,000 .. 2,000,000",Little Orbit,Little Orbit,1.00E+06,2.00E+06,1.0M,2.0M
Verdun,2015-04-28,19.99,"1,000,000 .. 2,000,000","M2H, Blackmill Games",M2H,1.00E+06,2.00E+06,1.0M,2.0M
Prime World,2014-03-31,,"1,000,000 .. 2,000,000",Nival,Nival,1.00E+06,2.00E+06,1.0M,2.0M
Guns and Robots,2014-08-04,0.0,"1,000,000 .. 2,000,000",Masthead Studios Ltd,"Masthead Studios Ltd, Thegamewallstudios, Gamigo AG",1.00E+06,2.00E+06,1.0M,2.0M
The SKIES - BETA,2016-04-16,,"1,000,000 .. 2,000,000",Eforb,Eforb,1.00E+06,2.00E+06,1.0M,2.0M
