"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"5193","GOLF in PAPER","Apr 5, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","meokigame","meokigame"
"5194","Mountain Rescue Simulator","Oct 10, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","United Independent Entertainment","United Independent Entertainment"
"5195","Jinga Online","Feb 16, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","2SD","2SD"
"5196","Oceans We Make","Nov 28, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Warrior9 VR Pte Ltd","Warrior9 VR Pte Ltd"
"5197","Other Realms: Dwarves & more Dwarves","Sep 1, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Botgate","Botgate"
"5198","Zoo World VR","Feb 13, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Intentio Education","Intentio Education"
"5199","Park The Car","Dec 1, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","indiegames3000","indiegames3000"
"5200","County Hospital","Aug 4, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LFR games","LFR games"
"5202","Cars vs Train","Jan 9, 2023","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"5203","Bus Simulator: Car Driving","Jan 25, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yusuf Islam Seyhan, Samet Acar","Inspector Studios"
"5204","Arachnophobia","Jun 1, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","IgnisVR","IgnisVR"
"5205","ROCK","Aug 17, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ragnar","Ragnar"
"5207","Feed Eve","Mar 5, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Womb Team","Womb Technology"
"5208","Global Soccer: A Management Game 2018","Apr 6, 2018","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Forever Young Games","Forever Young Games"
"5209","Der Milchbauer","Aug 21, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NMY Mixed-Reality Communication GmbH","KTBL"
"5210","Let's Play with Nanai!","Nov 1, 2018","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRJCC","ImagineVR"
"5212","CHERNOBYL - Death May Die","Feb 21, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Philip Efimov","Philip Efimov"
"5213","Fork Truck Challenge","Jul 24, 2015","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mint Arcade Ltd.","Mint Arcade Ltd."
"5214","Killer Klownz","Dec 5, 2016","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Peter Labick","Peter Labick Development"
"5215","Battleship Bishojo","Mar 29, 2017","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Silver Cow Studio","Silver Cow Studio"
"5216","VRtender","May 2, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Further Beyond Studios","Further Beyond Studios"
"5217","Monopolist: Technological Revolution","Jul 26, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","UA Games","NEBOCRY"
"5218","Strike Cars","Sep 5, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Action Portal","Action Portal"
"5219","Little Awesome Dudes","Sep 5, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Canalside Studios","Canalside Studios"
"5220","Bridge! 3","Nov 7, 2019","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SilentFuture","Aerosoft GmbH"
"5221","Pandemic: The Virus Outbreak","Jun 4, 2020","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","John's Project","John's Project"
"5222","Stakeholder Game","Feb 10, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BoneApps","Bone Apps"
"5223","FAST FOOD SHOP ONLINE","Aug 30, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DNA ARMY GAMING","DNA ARMY GAMING"
"5224","Absent Mind","Feb 24, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dylan Latham","Dylan Latham"
"5225","A Handful of Keflings","Jan 25, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NinjaBee","NinjaBee"
"5226","The President","May 7, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mario Scarfone","Mario Scarfone"
"5227","Battleground Shooting Training 吃鸡枪法训练器","Jun 22, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shenzhen Simeng Technology Co., Ltd.","Shenzhen Simeng Technology Co., Ltd."
"5228","Draft Day Sports: Pro Golf","Jul 24, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"5229","Zombie","Jul 25, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EcoShooter","EcoShooter"
"5230","MINI Wars","Jun 25, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Applykat","Applykat"
"5231","Fishing Adventure VR","Jan 7, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ultimate VR","SIG Publishing"
"5232","Human Delusion","Jan 24, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JoaAM Productions","JoaAM Productions"
"5233","Jumping Over It With Neko Girl","Feb 12, 2021","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sweet Games","Sweet Games"
"5234","My city and army","Feb 10, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","武器铺工作室","武器铺工作室"
"5235","Long Road","Mar 24, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChangeMe","ChangeMe"
"5236","Gefragt Gejagt - Das Spiel","Oct 29, 2021","$34.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beatshapers Ltd.","bitComposer Interactive GmbH"
"5237","Demolition Master 3D","Apr 11, 2014","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Appmania","Libredia"
"5238","Gamers Unknown Survival","Sep 10, 2017","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GCTV DevTeam","GamerCrewTV"
"5239","Craft city","Aug 28, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kedexa","Kedexa"
"5240","Metal Strike","Oct 20, 2020","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"5241","Chinese Train Trip","Mar 31, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Monavista dev","Monavista pub"
"5242","修仙者黎明","Aug 30, 2022","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","青竹工作室","青竹工作室"
"5243","Police Car Simulator","Dec 29, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yusuf Islam Seyhan, Samet Acar","Inspector Studios"
"5244","ZombieHunterZ","May 25, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","crowgames","crowgames"
"5245","Shoemaker","Oct 15, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Racing Bros","ANPA.US"
"5246","Hay Day Farm 2019 - 卡通农场","Nov 22, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Funs Studios","Funs Studios"
"5247","Australian Road Trains","Nov 29, 2013","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","United Independent Entertainment","United Independent Entertainment"
"5248","Balloon Saga","Sep 21, 2020","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"5249","守护者盟约","Jan 20, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","红星","电钮组"
"5250","OUTSTAND","Feb 8, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eskrima Games","Eskrima Games"
"5251","Balanced Politics Simulator","May 1, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Unphysical Machinery, Demir Leylek","Unphysical Machinery"
"5252","Honey Villa","Oct 28, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MCGame","MCGame"
"5253","Help Me Doctor","Oct 7, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AngryAngelGames","IceTorch Interactive"
"5254","Restaurant Tycoon","Dec 5, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zkolibre Studio","Zkolibre Studio"
"5255","Simple Sailing","May 11, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Racing Bros","ANPA.US"
"5256","Pixel Royale","Nov 6, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Antonio Renna","Antonio Renna"
"5257","Happy Day","Jan 12, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kiddy","Kiddy"
"5258","Fimbul Winter","May 6, 2021","$0.27","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Success Games","Success Games"
"5259","Sci-fi Chess","Apr 11, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Green-eyed Taxi","Narko Games"
"5260","Warehouse Tycoon","Feb 26, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EcoGames","EcoGames"
"5261","Cube Island","Aug 6, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sweet Games","Sweet Games"
"5262","RapStar Tycoon","Jun 21, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MadOptimist Games","MadOptimist Games"
"5263","TheGunRunner","Mar 16, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ExtinctionArts","ExtinctionArts"
"5264","Tetripank","Apr 9, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Narko Games","Narko Games"
"5265","Jurassic City Walk","Apr 25, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Real Fighting","Real Fighting"
"5266","Pitstop Challenge","Feb 1, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Laudo Games","KISS ltd"
"5267","FEAR background","Jul 8, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","5K Gamers","Piece Of Voxel"
"5268","TuHou Remilia - Begin Of Scarlet Family","Nov 18, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CoKe_Deer","CoKe_Deer"
"5269","ArcBall 2","Apr 24, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VladProduction","VladProduction"
"5270","RoboTraps","Dec 28, 2016","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Poltergames","Poltergames"
"5271","Arena","Aug 1, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Surreal Games","Surreal Games"
"5272","Cognizant Protocol","Jul 22, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nilem Studio","Nilem Studio"
"5273","Melody","Oct 5, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Verge of Brilliance LLC, Evie Powell, Michael Fewkes, Nickolas Forsten, David Whitlock, Mike Chokran, Andrew Luck","Verge of Brilliance LLC"
"5274","Mark After Dark","Dec 14, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lesley Dodd","Lesley Dodd"
"5275","Yanone: Letter Splatter","Sep 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zombie Soup","Zombie Soup"
"5276","Sol Galaxy Defender","Feb 12, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quack Games","James Habgood"
"5277","Flatwaters: The Curse of Echita","Jun 28, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lunarhellgames","Lunarhellgames"
"5278","Common Hanzi Quiz - Simplified Chinese","May 21, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wholetone Games","Wholetone Games"
"5279","Astrela Starlight","Apr 10, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Master Plan Multimedia","Master Plan Multimedia"
"5280","FlyWarzz","Sep 3, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anarquico","Anarquico"
"5281","Santa's Workshop","Nov 29, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TYB Publishing","TYB Publishing"
"5282","tia.sav","Aug 8, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WorthiSOFT","WorthiSOFT"
"5283","The planet's rescuer","Jan 1, 2019","$0.37","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kotsurenko Vitaliy","Droid Riot"
"5284","Mr Boom's Firework Factory","Jul 10, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brainbox.cc","Brainbox.cc"
"5285","Moonstone Crossroads","Apr 5, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio Shen","Studio Shen"
"5286","Asdivine Dios","Jun 4, 2019","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"5287","Lost In Sweets","Oct 31, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Conteride","Conteride"
"5288","City Breaker","Mar 27, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Soareverix","Soareverix"
"5289","soundStrider","Jul 10, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","shiftBacktick","shiftBacktick"
"5291","Fruit Factory","Sep 24, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Indie Accord","The Indie Accord"
"5292","Pixel Puzzles 4k: Japan","Dec 7, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel Puzzles","KPL"
"5293","Forge Squad","Nov 10, 2021","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wizard Dudes","Wizard Dudes"
"5294","Tunnel Blast","Jan 25, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mathias Kapelrud","Mathias Kapelrud"
"5295","ThroughHelltoHeaven","Feb 2, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OpticalPurgeStudios,LLC.","OpticalPurgeStudios"
"5296","Sophistry - Love & Despair","Dec 9, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","2 Cubs Studio","2 Cubs Studio"
"5298","To Save Humanity From Virus","Apr 9, 2021","$0.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tomas Daugela","Tomas Daugela"
"5299","ZOMBIE MATHters","May 2, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","gamebox","gamebox"
"5300","Barn Finders VR","Jun 2, 2022","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Punch Punk Games","Duality Games"
"5301","trappuzzler","May 31, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kevin De Keyser","Kevin De Keyser"
"5302","One thousand baht simulator","Jul 29, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","F","F"
"5303","Hedgie Simulator","Sep 16, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eltar","Eltar"
"5304","The Summit High School: Prologue Episode","Sep 30, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GLOBINS","GLOBINS"
"5305","Angelic Waves","Nov 1, 2021","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bus Arrows Studios","Bus Arrows Studios"
"5307","Perfect Balance","Jan 1, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Output Enable Studio","Output Enable Studio"
"5308","Retro TV Game Collection","Feb 21, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Perfect C Games","Perfect C Games"
"5309","Jester Street : Card Counting Trainer","Jan 22, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Geek Tweak Games","Geek Tweak Games"
"5310","MORE ENEMIES","Jan 8, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ian Fitzsimmons","Lollygag Labs"
"5311","Nora: The Wannabe Alchemist","May 26, 2022","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Error 300","Error 300"
"5312","Argonauts Agency: Missing Daughter","Jan 16, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Workroom7","8floor"
"5313","Ambition Record","Feb 3, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"5314","Everplast","Feb 24, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WraithWinterly","WraithWinterly"
"5315","Cute Snake","Mar 15, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nartay Islamkozha","Kozha games"
"5316","CellSar","Apr 26, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DrSamatha","DrSamatha"
"5317","Paranormal Simulator","May 12, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quasar Jogos","Quasar Jogos"
"5319","Endless Thief: a Fluffy Stealth Adventure","May 26, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SnowySierra","SnowySierra"
"5320","SKYRAID","Sep 7, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zaidos Games","Zaidos Games"
"5321","CARROT: Pancakes and Waffles","Aug 27, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChaseFOX","ChaseFOX"
"5322","Running Over Zombies","Jul 6, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Zoo","The Zoo"
"5323","FREM Sprite32!","Oct 17, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Negative(-11) Games Division","Negative(-11) Games Division"
"5324","Blankiball: Der Trinksportsimulator","Sep 14, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bendlerstudios Interactive","Bendlerstudios Interactive"
"5325","EvoLife","Sep 16, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mihaly Sisak","Mihaly Sisak"
"5326","DeerHunterFan.com TV - The Season","Oct 7, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chaos Entertainment","Chaos Entertainment"
"5327","A Potion For Chamomile","Oct 21, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kyanite Heart","Kyanite Heart"
"5328","Princess Dating Sim","Dec 5, 2022","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cute Pen Games","Cute Pen Games"
"5329","SGS Okinawa","Nov 21, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategy Game Studio","Avalon Digital"
"5330","小厨杂记","Dec 23, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","山石","山石"
"5331","Lost Abroad Café: A Language Learning Management Sim","Dec 30, 2022","$0.98","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lost Abroad","Lost Abroad"
"5332","Drive Maker","Feb 5, 2023","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mawnt Games","Mawnt Games"
"5333","Manual Overcycle","Feb 26, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fallen Few Studios","Fallen Few Studios"
"5334","MeiQi:Phoenix and the Chamber of Secrets","Mar 17, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","QZQ Studio","QZQ Studio"
"5335","Mogo Invasion","Jul 25, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","He Wenjie","He Wenjie"
"5336","VR Hockey League","Sep 25, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MadskillzVR","MadskillzVR"
"5337","ParkourMan","Jul 24, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fury Games Production","Fury Games Production"
"5338","Build It","Sep 17, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AO Games Studios","AO Games Studios"
"5339","Ape Hit","Aug 31, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Malika K. LLC, Zombie's Delight Studio","Malika K. LLC, Zombie's Delight Studio"
"5340","Awkward Date Hero","Oct 1, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brentinitis","Brentinitis"
"5341","Super Zombie Arcade","Aug 1, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Palfrey Games","Palfrey Games"
"5342","Atrocity","Dec 19, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Solare Games","Solare Games"
"5343","ReflexShot","May 10, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thousand Nights Studio","Thousand Nights Studio"
"5344","Dark Veer","Oct 24, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HANNMADE Studios","Forever Entertainment S. A."
"5345","Nauseous Pines","Nov 8, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rail Slave Games, Jenny(18/f)","KPL"
"5346","Seek Hearts","Dec 3, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"5347","DumbBots","May 19, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michael Hall","Michael Hall"
"5348","Turkey Hunting Unlimited","May 29, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chaos Entertainment","Chaos Entertainment"
"5349","Anime Jigsaw Puzzles","Aug 27, 2020","$0.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"5350","Simple Tools","Jul 4, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AcFun and bilibili 堕天使龙龙","AcFun and bilibili 堕天使龙龙"
"5352","Sponsor-A-Planet","Oct 12, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TheTallJS","TheTallJS"
"5353","Debatto: Delivery Battle","Mar 31, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jumagama","Jumagama"
"5355","约会模拟器：原型","Dec 24, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","W","W"
"5356","Crumbling City","Oct 7, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sieben De Beule (Prozilla), David De Beule","Daisy Games"
"5357","Chinese Bull","Feb 1, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","玫瑰工作室","玫瑰工作室"
"5358","The Shepherd","Mar 22, 2022","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MW Hashem","MeemWow Games"
"5359","task: 312","Aug 25, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","qDev","qDev"
"5360","Catsperience","May 17, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Black Vertigo","Black Vertigo"
"5361","Chroma Quaternion","May 6, 2021","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"5363","TIMESCAPE: Altitude","Nov 19, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dowrick Games","Dowrick Games"
"5365","Jousting VR","Oct 25, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRAAR S.A.","VRAAR S.A."
"5366","Legendary Boxing Belt","Apr 30, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Divine Blacksmith","Divine Blacksmith"
"5367","ScreamCap","Dec 16, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel After Pixel","Pixel After Pixel"
"5368","7 Days To Save The World","Feb 14, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gian Grunder, Nicolas Grunder","FounderStudio"
"5369","Argonauts Agency: Chair of Hephaestus","Jan 23, 2022","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Workroom7","8floor"
"5370","Raccoon Tales","May 16, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","echomune","echomune"
"5371","My Destiny","Aug 10, 2022","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Butengo entertainment","Butengo entertainment"
"5372","NOTALONE","Oct 26, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PsycholoChris","PsycholoChris"
"5373","Paper Needs Inspiration!","Feb 28, 2023","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zato Ana Software","Zato Ana Software"
"5374","CHARGED: RC Racing","Nov 8, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game Development Alexander Lamers","Game Development Alexander Lamers"
"5375","Mine Upgrade","Nov 17, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Keehan Roberts","Keehan Roberts"
"5376","laf the game","Nov 17, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","fleur","aurelien, lynn"
"5377","Carrier Command","Dec 24, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Realtime Games, MicroProse Software","MicroProse Software"
"5378","Terrarium Builder","Feb 16, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Errant Interactive","Errant Interactive"
"5379","Full Moon Kit","Feb 7, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hit the Healing","Hit the Healing"
"5380","Final Dose","Mar 28, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Grave Danger Games","Grave Danger Games"
"5381","DragonStrike","Mar 27, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Westwood Associates, Strategic Simulations","SNEG"
"5382","Miss Popularity","Jul 17, 2009","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dtp – young entertainment Gmbh & Co. KG","Cosmi Valusoft"
"5383","Quarterback SNAP","Aug 26, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","River Studios","River Studios"
"5384","Nothin' But Net","May 28, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","What Up Games, LLC","What Up Games, LLC"
"5385","Embrace The Fear","Jan 12, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","世纪龙信息网络有限责任公司","世纪龙信息网络有限责任公司"
"5386","All-Star Fielding Challenge VR","Apr 3, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","8-Bit Development Inc.","8-Bit Development Inc."
"5387","xDrive VR","Jun 16, 2017","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Themes_Daly","Themes_Daly"
"5388","ad movere","Dec 4, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","INVERTED, nayadivide","INVERTED, nayadivide"
"5389","Universally Loved","Aug 3, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meant, LLC","Meant, LLC"
