"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"138","Elite Dangerous","Apr 2, 2015","$7.49","N/A (N/A/80%)","2,000,000 .. 5,000,000","05:27 (07:36)","Frontier Developments","Frontier Developments"
"157","Hell Let Loose","Jul 27, 2021","$39.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","09:43 (07:35)","Black Matter Pty Ltd","Team17"
"158","Don't Starve","Apr 23, 2013","$9.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","06:02 (02:24)","Klei Entertainment","Klei Entertainment"
"172","Tropico 4","Sep 1, 2011","$14.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Haemimont Games","Kalypso Media Digital"
"181","Stellaris","May 9, 2016","$39.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","13:28 (13:09)","Paradox Development Studio","Paradox Interactive"
"218","NBA 2K19","Sep 10, 2018","N/A","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"221","Surviving Mars","Mar 15, 2018","$29.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","03:39 (01:13)","Haemimont Games, Abstraction","Paradox Interactive"
"222","Red Orchestra 2: Heroes of Stalingrad with Rising Storm","Sep 13, 2011","$19.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","01:13 (00:48)","Tripwire Interactive","Tripwire Interactive"
"223","American Truck Simulator","Feb 2, 2016","$19.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","17:43 (04:14)","SCS Software","SCS Software"
"240","Star Conflict","Feb 27, 2013","Free","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:35 (00:23)","Star Gem Inc.","Gaijin Distribution KFT"
"245","The Escapists 2","Aug 21, 2017","$19.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","04:44 (02:24)","Team17, Mouldy Toof Studios","Team17"
"246","Kenshi","Dec 6, 2018","$29.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","04:11 (05:57)","Lo-Fi Games","Lo-Fi Games"
"268","Kingdom: Classic","Oct 21, 2015","Free","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:00 (00:00)","Noio, Licorice","Raw Fury"
"296","Arma 2: Operation Arrowhead","Jun 29, 2010","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"298","Banished","Feb 18, 2014","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Shining Rock Software LLC","Shining Rock Software LLC"
"301","Farming Simulator 19","Nov 19, 2018","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:47 (00:31)","Giants Software","Giants Software"
"394","Jurassic World Evolution","Jun 11, 2018","$8.99","N/A (N/A/69%)","2,000,000 .. 5,000,000","00:55 (00:18)","Frontier Developments","Frontier Developments"
"421","Men of War: Assault Squad 2","May 15, 2014","$29.99","N/A (N/A/68%)","2,000,000 .. 5,000,000","02:13 (02:00)","Digitalmindsoft","Fulqrum Publishing"
"434","House Flipper","May 17, 2018","$24.99","N/A (N/A/67%)","2,000,000 .. 5,000,000","01:39 (01:24)","Empyrean","Frozen District, PlayWay S.A."
"446","Age of Mythology: Extended Edition","May 8, 2014","$29.99","N/A (N/A/66%)","2,000,000 .. 5,000,000","01:08 (00:53)","SkyBox Labs, Ensemble Studios","Xbox Game Studios"
"472","Guns of Icarus Online","Oct 29, 2012","$4.99","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Muse Games","Muse Games"
"502","Goat Simulator","Apr 1, 2014","$9.99","N/A (N/A/62%)","2,000,000 .. 5,000,000","00:22 (00:07)","Coffee Stain Studios","Coffee Stain Publishing"
"1051","RaceRoom Racing Experience","Feb 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:07 (00:02)","KW Studios","KW Studios, RaceRoom Entertainment AG"
"1052","World of Guns: Gun Disassembly","May 21, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Noble Empire Corp.","Noble Empire Corp."
"1056","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","29:38 (24:31)","FishSoft, LLC","FishSoft, LLC"
"1057","DCS World Steam Edition","Mar 18, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","05:07 (06:12)","Eagle Dynamics SA","advocatus"
"1059","Fishing Planet","Aug 11, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:33 (00:22)","Fishing Planet LLC","Fishing Planet LLC"
"13220","NBA 2K21","Sep 4, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"13244","Microsoft Flight Simulator X: Steam Edition","Dec 18, 2014","$24.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Microsoft Game Studios","Xbox Game Studios"
"13251","Football Manager 2021","Nov 24, 2020","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"13265","Gang Beasts","Dec 12, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","01:36 (01:55)","Boneloaf, Coatsink","Boneloaf"
"13266","Blade and Sorcery","Dec 11, 2018","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","02:33 (03:25)","WarpFrog","WarpFrog"
"13268","Car Mechanic Simulator 2018","Jul 28, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:27 (00:11)","Red Dot Games","PlayWay S.A."
"13269","Cookie Clicker","Sep 1, 2021","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","37:06 (35:20)","Orteil, DashNet","Playsaurus"
"13270","Besiege","Feb 18, 2020","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","00:17 (00:05)","Spiderling Studios","Spiderling Studios"
"13273","Plague Inc: Evolved","Feb 18, 2016","$14.99","N/A (N/A)","2,000,000 .. 5,000,000","00:21 (00:14)","Ndemic Creations","Ndemic Creations"
"13277","The Isle","Dec 1, 2015","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","01:41 (01:09)","Afterthought LLC","Afterthought LLC"
"13278","Tabletop Simulator","Jun 5, 2015","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","06:07 (05:18)","Berserk Games","Berserk Games"
"13280","Dyson Sphere Program","Jan 20, 2021","$15.99","N/A (N/A)","2,000,000 .. 5,000,000","02:34 (03:35)","Youthcat Studio","Gamera Games"
"13281","Conan Exiles","May 8, 2018","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","17:54 (26:15)","Funcom","Funcom"
"13283","The Long Dark","Aug 1, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","12:12 (08:04)","Hinterland Studio Inc.","Hinterland Studio Inc."
"13285","FIFA 22","Sep 30, 2021","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","08:20 (01:32)","EA Canada & EA Romania","Electronic Arts"
"13286","Forza Horizon 5","Nov 8, 2021","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","07:49 (05:48)","Playground Games","Xbox Game Studios"
"13288","Totally Accurate Battle Simulator","Apr 1, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","03:01 (03:01)","Landfall","Landfall"
"13289","Space Engineers","Feb 28, 2019","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","17:29 (33:57)","Keen Software House","Keen Software House"
"13291","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","06:19 (09:22)","Expansive Worlds","Expansive Worlds"
"13292","Satisfactory","Jun 8, 2020","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","09:36 (05:50)","Coffee Stain Studios","Coffee Stain Publishing"
"13293","BeamNG.drive","May 29, 2015","$24.99","N/A (N/A)","2,000,000 .. 5,000,000","02:42 (02:32)","BeamNG","BeamNG"
"13294","People Playground","Jul 23, 2019","$9.99","N/A (N/A)","2,000,000 .. 5,000,000","03:10 (06:11)","mestiez","Studio Minus"
"1","Dwarf Fortress","Dec 6, 2022","$29.99","N/A (N/A/93%)","1,000,000 .. 2,000,000","24:09 (08:03)","Bay 12 Games","Kitfox Games"
"4","Microsoft Flight Simulator 40th Anniversary Edition","Aug 17, 2020","$59.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","05:52 (07:12)","Asobo Studio","Xbox Game Studios"
"8","Into the Breach","Feb 27, 2018","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","01:30 (01:34)","Subset Games","Subset Games"
"12","Rise of Nations: Extended Edition","Jun 12, 2014","$19.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","01:49 (00:36)","SkyBox Labs, Big Huge Games","Xbox Game Studios"
"19","NBA 2K18","Sep 14, 2017","N/A","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:55 (00:18)","Visual Concepts","2K"
"32","Her Story","Jun 24, 2015","$9.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Sam Barlow","Sam Barlow"
