Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Slime Kingdom,2018-05-16,0.0,"0 .. 20,000",Po-Jui Huang,Po-Jui Huang,0.00E+00,2.00E+04,0,20.0K
AZ: Oath of Brotherhood Prologue 1,2020-03-19,0.0,"0 .. 20,000",WeSoloAZ,WeSoloAZ,0.00E+00,2.00E+04,0,20.0K
The Adliberum Engine (ADLENGINE),2017-06-23,0.0,"0 .. 20,000",Liam Twose,Liam Twose,0.00E+00,2.00E+04,0,20.0K
血潭江湖百里荣,2020-05-01,0.0,"0 .. 20,000",类人猿leiry,类人猿leiry,0.00E+00,2.00E+04,0,20.0K
Aegis Online,2020-10-30,0.0,"0 .. 20,000",Kale the Quick,Easter Egg Productions,0.00E+00,2.00E+04,0,20.0K
Depths of Dread,2016-07-12,,"0 .. 20,000",Mindmuscle Games,Mindmuscle Games,0.00E+00,2.00E+04,0,20.0K
The Adventures of Alvis,2017-04-03,0.0,"0 .. 20,000",Sunshine Games,Sunshine Games,0.00E+00,2.00E+04,0,20.0K
Chronicles of Lurra,2018-10-21,0.0,"0 .. 20,000","Jaydon Schumacker, Jonathan Clay, Andres Garcia, Anthony Acosta",404 Name Not Found Studios,0.00E+00,2.00E+04,0,20.0K
无上道,2020-02-27,0.0,"0 .. 20,000",无上道,无上道,0.00E+00,2.00E+04,0,20.0K
没猫病制作人 / Psychosoft Ltd.,2019-01-31,,"0 .. 20,000",橙光游戏,橙光游戏,0.00E+00,2.00E+04,0,20.0K
Legend of the 9 Swords: Side Story,2019-11-28,0.0,"0 .. 20,000",Christopher Rodrigues,Sunstar Gaming Productions,0.00E+00,2.00E+04,0,20.0K
Stay Safe 2020,2021-12-07,0.0,"0 .. 20,000",Mohamed Shiyam,Mohamed Shiyam,0.00E+00,2.00E+04,0,20.0K
Little Helper,2019-10-26,0.0,"0 .. 20,000",Vander,Vander,0.00E+00,2.00E+04,0,20.0K
Civil: The Game,2019-09-12,,"0 .. 20,000",Oversight Games,Oversight Games,0.00E+00,2.00E+04,0,20.0K
Gates to Terra II,2019-10-19,0.0,"0 .. 20,000",SeasonQuest,SeasonQuest,0.00E+00,2.00E+04,0,20.0K
Progeny VR,2018-01-16,0.0,"0 .. 20,000",Silverstring Media Inc.,Silverstring Media Inc.,0.00E+00,2.00E+04,0,20.0K
Birthright Cataclysm - Overture,2020-11-15,,"0 .. 20,000",Hisoka,Hisoka,0.00E+00,2.00E+04,0,20.0K
Lotia,2017-06-02,0.0,"0 .. 20,000","Crayon Ponyfish, LLC","Crayon Ponyfish, LLC",0.00E+00,2.00E+04,0,20.0K
Gelldonia,2020-10-09,0.0,"0 .. 20,000",Bombreature Games,Bombreature Games,0.00E+00,2.00E+04,0,20.0K
Space Battle,2020-07-06,0.0,"0 .. 20,000",Adrián Corbalán,Adrián Corbalán,0.00E+00,2.00E+04,0,20.0K
孙美琪疑案 第二季,2021-01-10,,"0 .. 20,000",QZQ Studio,"H.P.Y.S,LLC",0.00E+00,2.00E+04,0,20.0K
战神七魄,2020-02-03,0.0,"0 .. 20,000",战神七魄,战神七魄,0.00E+00,2.00E+04,0,20.0K
War in Pocket,2019-09-26,,"0 .. 20,000",Comag Game,Comag Game,0.00E+00,2.00E+04,0,20.0K
Ultimo Reino,2009-04-10,0.0,"0 .. 20,000",ultimoreino,ultimoreino,0.00E+00,2.00E+04,0,20.0K
Eternal Realm,2015-05-18,0.0,"0 .. 20,000",Omega Games,Omega Games,0.00E+00,2.00E+04,0,20.0K
Sacred Saga Online,2017-08-24,0.0,"0 .. 20,000",GameHollywood,Global Genom Corporate,0.00E+00,2.00E+04,0,20.0K
Dungeon Quest,2018-05-07,,"0 .. 20,000",Akash Balloo,Akash Balloo,0.00E+00,2.00E+04,0,20.0K
CONTINGENCY,2019-08-26,0.0,"0 .. 20,000",Matthew Prater,Matthew Prater,0.00E+00,2.00E+04,0,20.0K
Kedemara - The Orphan's Ballad (Ch.1 & 2),2019-09-02,0.0,"0 .. 20,000",Self-Developed,Self-Published,0.00E+00,2.00E+04,0,20.0K
Salvage,2020-06-18,,"0 .. 20,000",Big Dumb Fun Games,Big Dumb Fun Games,0.00E+00,2.00E+04,0,20.0K
Malatzshia,2017-12-24,0.0,"0 .. 20,000",BUNIAKRA GAMES,BUNIAKRA GAMES,0.00E+00,2.00E+04,0,20.0K
FARIA: Ghosts of the Stream,2016-08-04,,"0 .. 20,000",Faria,Faria,0.00E+00,2.00E+04,0,20.0K
Shining Orb Prequel,2018-11-05,0.0,"0 .. 20,000",Vorge Studio,Vorge Studio,0.00E+00,2.00E+04,0,20.0K
Battlemage,2019-01-02,,"0 .. 20,000",Primeval Software,Primeval Software,0.00E+00,2.00E+04,0,20.0K
Fantasy Gladiators,2019-08-27,0.0,"0 .. 20,000",Fatherson Games,Blue Mana,0.00E+00,2.00E+04,0,20.0K
Sakura Dimensions,2020-11-26,,"0 .. 20,000",BerCh1n,BerCh1n,0.00E+00,2.00E+04,0,20.0K
Battlecursed,2018-02-07,,"0 .. 20,000",Codex Worlds,Codex Worlds,0.00E+00,2.00E+04,0,20.0K
Oceanum Mortis,2019-07-19,0.0,"0 .. 20,000",Brewsterland Studios,Brewsterland Studios,0.00E+00,2.00E+04,0,20.0K
There Was A Dream,2021-02-11,,"0 .. 20,000",Keydare Project,Keydare Project,0.00E+00,2.00E+04,0,20.0K
