"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"132","Skater XL - The Ultimate Skateboarding Game","Jul 28, 2020","$39.99","N/A (N/A/56%)","500,000 .. 1,000,000","00:24 (00:16)","Easy Day Studios Pty Ltd","Easy Day Studios Pty Ltd"
"412","PRO EVOLUTION SOCCER 2018 LITE","Nov 15, 2017","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Konami Digital Entertainment Co., Ltd","Konami Digital Entertainment"
"426","3on3 FreeStyle: Rebound","Jul 14, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Joycity","Joycity"
"427","Streamline","Sep 30, 2016","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Proletariat Inc.","Proletariat Inc."
"428","Soccer Manager 2021","Dec 16, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Invincibles Studio Ltd","Invincibles Studio Ltd"
"429","PRO EVOLUTION SOCCER 2019 LITE","Dec 13, 2018","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"431","Copa Petrobras de Marcas","Nov 29, 2014","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Reiza Studios","Reiza Studios"
"433","Pixel Puzzles Ultimate Jigsaw","Aug 29, 2022","Free","N/A (N/A)","500,000 .. 1,000,000","00:14 (00:18)","Pixel Puzzles","Pixel Puzzles"
"437","Supraball","Feb 8, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Supra Games","Supra Games"
"441","NBA 2K16","Sep 29, 2015","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Visual Concepts","2K"
"442","Pool 2D - Poolians","Dec 15, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Poolians.com","ThankGame.com"
"443","Slapshot: Rebound","Dec 7, 2020","Free","N/A (N/A)","500,000 .. 1,000,000","00:33 (00:32)","Oddshot Games","Oddshot Games"
"444","Real Pool 3D - Poolians","Dec 15, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:47 (00:47)","Poolians.com","ThankGame.com"
"447","Paunch","Dec 4, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Kozhakov","Kozhakov"
"448","Drunken Wrestlers 2","Apr 1, 2019","Free","N/A (N/A)","500,000 .. 1,000,000","00:01 (00:00)","Oleg Skutte","Gamegrustudio"
"2805","VR Regatta - The Sailing Game","Jan 30, 2018","$29.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MarineVerse","MarineVerse"
"3008","Blast Zone! Tournament","Feb 28, 2019","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Victory Lap Games","Victory Lap Games"
"3072","Achievements printer","Mar 2, 2018","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Easy game","Game for people"
"3101","Olympic Games Tokyo 2020 – The Official Video Game","Jun 21, 2021","$39.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","SEGA","SEGA"
"3126","Drift Streets Japan","Dec 21, 2015","$0.49","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","JDM4iK Games","SA Industry"
"3144","Football, Tactics & Glory","Jun 1, 2018","$24.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Creoteam","Creoteam, Toplitz Productions"
"3162","Mount Your Friends","Jul 29, 2014","$4.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Stegersaurus Software Inc.","Stegersaurus Software Inc."
"3168","Superflight","Nov 8, 2017","$2.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","GrizzlyGames","GrizzlyGames"
"3170","MX Bikes","Oct 7, 2019","$34.99","N/A (N/A)","500,000 .. 1,000,000","09:06 (09:06)","PiBoSo","PiBoSo"
"3171","Sonic & All-Stars Racing Transformed Collection","Jan 31, 2013","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Sumo Digital","SEGA"
"3174","DJMAX RESPECT V","Mar 11, 2020","$49.99","N/A (N/A)","500,000 .. 1,000,000","01:55 (01:44)","NEOWIZ","NEOWIZ"
"3176","NBA 2K22","Sep 9, 2021","$59.99","N/A (N/A)","500,000 .. 1,000,000","20:21 (34:47)","Visual Concepts","2K"
"3","F1 2017","Aug 24, 2017","N/A","N/A (N/A/89%)","200,000 .. 500,000","00:00 (00:00)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
"9","F1 2016","Sep 7, 2016","N/A","N/A (N/A/86%)","200,000 .. 500,000","00:00 (00:00)","Codemasters, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac), Electronic Arts"
"28","Monday Night Combat","Jan 24, 2011","$4.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Uber Entertainment","Uber Entertainment"
"30","Circuit Superstars","Oct 12, 2021","$19.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Original Fire Games","Square Enix"
"36","F.I.S.T.: Forged In Shadow Torch","Oct 2, 2021","$29.99","N/A (N/A/81%)","200,000 .. 500,000","00:00 (00:00)","TiGames","bilibili"
"47","PRO EVOLUTION SOCCER 2019","Aug 29, 2018","N/A","N/A (N/A/80%)","200,000 .. 500,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
