"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1194","Hockey Shooter VR","Feb 18, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRdevelopment","Phone Software Ltd"
"1195","Quantum Apex","Apr 29, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Red Ram Games","Red Ram Games"
"1196","GPMoto Challenge","Jun 16, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LOSEDEAD","LOSEDEAD"
"1197","Dice Roller VR","Nov 7, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Suplife Games","Suplife Games"
"1198","Street volleyball - Invitation","Dec 20, 2022","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","xe2050","WELOVEBOT CO., LTD."
"1199","Head Basketball","Dec 11, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","D&D Dream","D&D Dream"
"1200","Draw the Road","Feb 20, 2023","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"1201","Girls Tennis League","Mar 13, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","shaka chen","shaka chen"
"1202","TNN Motorsports Hardcore TR","Aug 10, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ASC Games","Console Classics"
"1203","Bottle Flip Challenge VR","Apr 9, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Justin Jimmo","Squawkybird Games"
"1205","Toy Gun Office Simulator","Aug 29, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wanana Games","Wanana Games"
"1206","Smoker The Car Game","Aug 17, 2018","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","(STCG) Smoker The Car Game","(STCG) Smoker The Car Game"
"1207","GIRLS VR UNCENSORED!!!","Sep 28, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eroticon VR","Eroticon VR"
"1208","World Enduro Rally","Nov 16, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GraphicDNA","GraphicDNA"
"1209","Pilot Sports","Jul 31, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Z-Software","Z-Software GmbH"
"1210","Space Hockey","May 2, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Singularity Game Studios","Singularity Game Studios"
"1211","Classic Card Game Euchre","Jan 29, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","webfoot","Encore Software LLC."
"1212","Space Dogfight","Jun 15, 2020","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meng Games","Meng Games"
"1214","SOL Cycling","Feb 6, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Olivex (HK) Limited","Olivex (HK) Limited"
"1215","Football tournament","Jul 23, 2021","$1.29","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Phoenixxx Games","Phoenixxx Games"
"1216","Bunch of Games","Sep 13, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frenzy","Frenzy"
"1217","One Shot Challenge","Dec 15, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"1218","Meet Ball Girls","Feb 2, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BGirl Games","BGirl Games"
"1219","SuperBike TT","Feb 25, 2015","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ghost Machine","Ghost Machine"
"1220","WackyMoles","Dec 12, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CrystalGame","CrystalGame"
"1221","StickDodgeVR","Aug 2, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brian Underwood, Ben Makarechian","The StickDodgeVR Team"
"1222","Naturallandscape - Three Gorges (自然景观系列-长江三峡)","Mar 16, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magicvalley Studio","Magicvalley Studio"
"1223","Boxing Fighter : Super punch","Apr 1, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Playtouch","Playtouch"
"1224","Turbo Soccer VR","Jun 14, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dodo4Story Games","Dodo4Story Games"
"1225","Draft Day Sports: Pro Football 2019","Nov 21, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"1226","Hurricane chase(飓风追击)","Jul 24, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","2AM(熬夜工作室)","2AM(熬夜工作室)"
"1227","G.A.C.K. - Gaming App Construction Kit","Aug 29, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gernot Frisch","Dream Design Entertainment"
"1228","DVR Simulator","Dec 21, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Demonixis Games","Demonixis Games"
"1230","BlitzPunch","Jan 26, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Malevolent Wormhole","Malevolent Wormhole"
"1231","CYBER TENNIS","Feb 4, 2022","$18.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TECHNICAL ARTS","TECHNICAL ARTS"
"1232","Heavy Impact","Dec 20, 2016","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio Captivate","Studio Captivate"
"1233","Chessia","Sep 20, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hakki Ozturk, Halil Ibrahim Ozturk","Hakki Ozturk"
"1234","Squash Kings VR","Mar 12, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Appnori Inc.","Appnori Inc."
"1235","Precision Sniping: Competitive","Mar 27, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Salsawi","Salsawi Games"
"1236","Pingball Ultra","Aug 7, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jakub Domanski","Jakub Domanski"
"1237","Wingsuit: Gudvangen","Jun 25, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ninja Whale Studios","Ninja Whale Studios"
"1238","THE VR CANYON","Jan 7, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wild Monkeygames","Wild Monkeygames"
"1240","Space Ship DRIFT","Apr 7, 2021","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"1241","Hard Steel","Jun 15, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Prestige Games","Prestige Games"
"1242","Hi Poker 3D:Texas Holdem","Oct 10, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Joydance Studio","Joydance Studio"
"1243","ZOSU VR Explosive Bow Hunting","Dec 15, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZOSU Studios LLC","ZOSU Studios LLC"
"1244","Klondike Solitaire Kings","Aug 16, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1245","Soccer Kid","Jul 9, 2019","$2.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Krysalis Software","Piko Interactive LLC, Bleem!"
"1246","Pro Deer Hunting 2","Apr 30, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PSR Outdoors","PSR Outdoors Games"
"1247","Fastlane Bowling","Sep 16, 2021","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LAB Rats Game","Enlight Software"
"1248","Dunk It (VR Basketball)","Jan 16, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shashitha Kularatna","Shashitha Kularatna"
"1249","Mahjong Challenge","Aug 22, 2017","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1250","Australian Football Coach","Sep 1, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Statto Software","Statto Software"
"1251","Looney Rally","Feb 17, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BeshevGames","BeshevGames"
"1252","Draft Day Sports: Pro Basketball 2019","Nov 13, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"1253","SPORT1 Live : Duel","May 30, 2014","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sport1 GmbH","Sport1 GmbH"
"1254","Athletics 3: Summer Sports","Jun 25, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Olivier Monaret","Olivier Monaret"
"1255","Business Tycoon Billionaire","Jul 5, 2018","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1256","Football Director 2019","Dec 14, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sports Director Ltd, Alternative Software Ltd","Alternative Software Ltd"
"1257","Little League World Series Baseball 2022","Aug 17, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","IguanaBee","GameMill Entertainment"
"1258","Police Air Transporter","Jul 4, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fury Games Production","Fury Games Production"
"1259","Water Drift","May 2, 2021","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"1260","Magic Chess","Jun 20, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","One Tap Games","One Tap Games"
"1261","Street Football","Jan 7, 2021","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"1262","Ero Tennis","Feb 2, 2021","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"1263","Drift Legends","Mar 15, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Black Fox Entertainment, Starkom Entertainment","Black Fox Entertainment, Starkom Entertainment"
"1264","WarpBall","Jun 5, 2017","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Unruly Attractions","Unruly Attractions"
"1265","Rally Copters","Aug 10, 2016","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Depth First Games","Depth First Games"
"1266","Thetaball","Jul 31, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tim Sheehan","Tim Sheehan"
"1267","Choo-Choo! The Train Rides!","Jun 1, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SeStudio","SeStudio"
"1268","Super Streaker Plus","Aug 31, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rice and Pixel Ltd","Rice and Pixel Ltd"
"1269","Swing the cat","Oct 15, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lazarus Software","Lazarus Software"
"1270","BFGE (Bartender Flair Game)","Mar 1, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gazflair3d","Gazflair3d"
"1271","Truck the System","Sep 11, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","jorgen games Ltd","jorgen games Ltd"
"1272","Tonetaker VR","Sep 18, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daniel Rychlý, Milan Matonok","Fungamesvr"
"1273","Super No Crying in Baseball","Jul 22, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exploding Knees","Exploding Knees"
"1274","Improbable Soccer","Jul 12, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CyberLab Studios","CyberLab Studios"
"1275","Die drei Freunde von der Reitschule","Oct 15, 2007","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Caipirinha Games GmbH","LA12 Studios"
"1276","ヨガって！奥様","Aug 18, 2020","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TRYSET","Far East Studio"
"1277","Arc Wizards 2","Sep 21, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nacks Soft","Nacks Soft"
"1279","Formosa Night Market VR Arcade(by Taiwan)","Dec 22, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MayCharm Developer","MayCharm Tech Ltd."
"1280","Super Liquid Soccer","Nov 29, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","punyrobot","punyrobot"
"1281","14 balls soccer !!!","Jul 14, 2021","$0.27","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Clockstone Software  GmBh","Piotr Onyszkanycz"
"1282","Wednesday Basketball","Nov 30, 2021","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jérôme Bodin, Cédric Ledoux, Joseph Herbelin","Le Studio des Ténèbres"
"1283","Akyrikon VR","May 5, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Be VR Studios","Be VR Studios"
"1284","Atomic Cyclecar Racing","Nov 30, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Prime","Prime"
"1285","MMA Championship","Dec 20, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Karl Brown","Karl Brown"
"1286","Running Challenge","Jan 30, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enaayah Software Development and Services Private Limited","Enaayah Software Development and Services Private Limited"
"1287","Pocket Rocket","Jan 16, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jazzcat games","Jazzcat games"
"1288","Ball Pain","Mar 14, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FG Realm","FG Realm"
"1289","Rush Rush Rally Reloaded","Aug 3, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Senile Team","Senile Team"
"1290","PUCK RUNNER","Sep 1, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bennett Farmer","Bennett Farmer"
"1291","Try to Fly","Nov 25, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BoomBit","BoomBit"
"1292","WFO World Football Online","Sep 12, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WFO Team","Eren Aydin"
"1293","Hitstream","Oct 31, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","And 7 Limited","And 7 Limited"
"1294","Our Winter Sports","Dec 7, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SAT-BOX","SAT-BOX"
"1295","LOCOSOCCER","Dec 7, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Startreming Games","TheGamePublisher.com"
"1296","Ultimate Flight Simulator Pro","Feb 2, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yusuf Islam Seyhan, Samet Acar","Inspector Studios"
"1297","DownhillMadness","Feb 27, 2023","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shoulders of Giants Studios","Shoulders of Giants Studios"
"1298","Free Kick Football: 3D Soccer","Feb 24, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yusuf Islam Seyhan, Samet Acar","Inspector Studios"
"1299","Star Balls","Aug 18, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bolder Games","Bolder Games"
"1300","Double Play: 2-Player VR Baseball","Jul 21, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blue Newt Software","Blue Newt Software"
"1301","GRITS Racing","Mar 4, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Muddy Desert","Muddy Desert"
"1302","Pirouette","Jul 30, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pirouette","Pirouette"
"1303","Total Ski Jump","Sep 10, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Perfection Games","Perfection Games"
"1304","BOW MAN","Aug 30, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DMM VR lab","DMM.com LLC"
"1305","Golf98","Oct 17, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio Inward","Studio Inward"
"1306","Ping Pong Space - Retro Tennis","Dec 5, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Best Friend Games","Best Friend Games"
"1307","NeonFlight","Feb 26, 2020","$0.63","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lasse Eversmeier","MikasArts"
"1308","VR Mini Bowling 2","Apr 10, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brian Macumber, Kevin Macumber","Brian Macumber"
"1311","Sports Paradise VR","Jun 17, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TrueWare","TrueWare"
"1312","Bodies of Water VR","Jun 30, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Triggerfish Games","Triggerfish Studios"
"1313","Color by Number - Monster Heroes","Dec 2, 2021","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1314","Peace Maker VR","May 27, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TSGames","TSGames"
"1315","Dragon Fury","Nov 30, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Esenthel","Esenthel"
"1316","RecNaviClub","Sep 14, 2022","$34.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TOYOMARU INDUSTRY CO., LTD.","TOYOMARU INDUSTRY CO., LTD."
"1317","Anime Catgirl Runner","Nov 15, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yume Creations","Yume Creations"
"1318","Princess Kidnapper 2 - VR","Mar 20, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magic Era","Magic Era"
"1319","DEBUFF","Dec 14, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Playito.com","Playito.com"
"1320","Match Connect Challenge","May 11, 2018","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1322","Combat Helicopter- Surgical Strike","Aug 11, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Harsh Bakshi","Skrots Game Studios"
"1323","Bolf","Nov 19, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SimTenero","SimTenero"
"1324","Ultimate Chess","Apr 24, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Penultimate Software","Penultimate Software"
"1325","Premier Manager 09","Aug 15, 2008","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZOO Digital Publishing","Funbox Media Ltd"
"1326","RoadPunk","Feb 4, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChangeMe","ChangeMe"
"1327","Hockey VR","Oct 14, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Melcher Studios","Melcher Studios"
"1328","Soccer Boss","Oct 21, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alternative Software Ltd","Alternative Software Ltd"
"1329","Minigolf Adventure","May 13, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Revulo Games","Revulo Games"
"1331","Windsurfing MMX","Aug 29, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jérôme Six","SIX Simulations"
"1332","Gigantosaurus: Dino Kart","Feb 17, 2023","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","3DClouds","Outright Games Ltd."
"1333","Fish or Die","Apr 25, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thirsten Studios","Thirsten Studios"
"1334","VR_PlayRoom","Dec 31, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WeVery","WeVery"
"1335","Speed Car Fighter","May 1, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yash Future Tech Solutions Pvt Ltd","Yash Future Tech Solutions Pvt Ltd"
"1336","Puttin' Around","Mar 6, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Better Games LLC","Better Games LLC"
"1337","Bocce VR","Jun 19, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gamesandapps","Gamesandapps"
"1338","Actua Golf 3","Aug 31, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Urbanscan","Console Classics"
"1339","Puzzle: Underwater World","Aug 2, 2017","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1340","Fishing on the Fly","Jun 3, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Numicus Studios","Numicus LLC"
"1341","Executive Hockey","Nov 1, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rally Call Software","Rally Call Software"
"1342","Reel Fishing: Road Trip Adventure","Sep 17, 2019","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tachyon Inc., Natsume Inc.","Natsume Inc."
"1343","Oscillate","Feb 22, 2021","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nadan Studio","Nadan Studio"
"1344","Little Party Legends","Apr 30, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Greenblade Studios","Greenblade Studios"
"1345","Pure Bowl VR Bowling","Sep 24, 2021","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kitten Fortress","Kitten Fortress"
"1346","Naturallandscape - GuilinLandscape (自然景观系列-桂林山水)","Feb 15, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magicvalley Studio","Magicvalley Studio"
"1347","Draft Day Sports: College Football 2018","Jul 6, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"1348","VRRCC","May 20, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vice Age","Vice Age"
"1349","MBHL20","Aug 21, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Halt Studios","Halt Studios"
"1350","GOLF in PAPER","Apr 5, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","meokigame","meokigame"
"1351","Park The Car","Dec 1, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","indiegames3000","indiegames3000"
"1352","JumpBall 2","Nov 21, 2017","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","André Bertaglia","André Bertaglia"
"1353","Global Soccer: A Management Game 2018","Apr 6, 2018","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Forever Young Games","Forever Young Games"
"1354","Curling On Line","Jul 29, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pix Arts","Pix Arts"
"1355","Wrestlers Without Boundaries","May 30, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Real Fighting","Real Fighting"
"1356","Draft Day Sports: Pro Golf","Jul 24, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"1357","Fishing Adventure VR","Jan 7, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ultimate VR","SIG Publishing"
"1358","Jumping Over It With Neko Girl","Feb 12, 2021","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sweet Games","Sweet Games"
"1359","Long Road","Mar 24, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChangeMe","ChangeMe"
"1360","Balloon Saga","Sep 21, 2020","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"1361","Battle Baseball","Apr 21, 2020","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","encounter studio","encounter studio"
"1362","Simple Sailing","May 11, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Racing Bros","ANPA.US"
"1363","Sci-fi Chess","Apr 11, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Green-eyed Taxi","Narko Games"
"1364","RageBall","Sep 29, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hebi Studios","Hebi Studios"
"1365","Tetripank","Apr 9, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Narko Games","Narko Games"
"1366","Pitstop Challenge","Feb 1, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Laudo Games","KISS ltd"
"1367","Baskhead","Jul 19, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRLINES","VRLINES"
"1368","Oniris Basket VR","Sep 17, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oniris Studios","Oniris Studios"
"1369","Fantasy Fairways","Aug 8, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sweet Roll Studio LLC.","Sweet Roll Studio LLC."
"1370","Arena","Aug 1, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Surreal Games","Surreal Games"
"1371","Yanone: Letter Splatter","Sep 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zombie Soup","Zombie Soup"
"1372","Curves","Apr 14, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Starmyth","Starmyth"
"1373","Beat Boxing","Nov 3, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Burning Daisies","mindhelix.pl"
"1375","Pixel Puzzles 4k: Japan","Dec 7, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel Puzzles","KPL"
"1376","ZONERS","Aug 2, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Paris Stalker, ALL iN","ALL iN"
"1377","Retro TV Game Collection","Feb 21, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Perfect C Games","Perfect C Games"
"1378","Light The Lamp Hockey","Nov 15, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jordan Cross","Scalded Dog Games"
"1379","Blankiball: Der Trinksportsimulator","Sep 14, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bendlerstudios Interactive","Bendlerstudios Interactive"
"1380","DeerHunterFan.com TV - The Season","Oct 7, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chaos Entertainment","Chaos Entertainment"
"1381","Deck 'Em!","Mar 7, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frosty Pop","Frosty Pop"
"1382","Manual Overcycle","Feb 26, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fallen Few Studios","Fallen Few Studios"
"1383","Virtual Islands","Sep 9, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tim McCulloch","Tim McCulloch"
"1384","VR Hockey League","Sep 25, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MadskillzVR","MadskillzVR"
"1385","HeadON!","Mar 30, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZREALITY GmbH","ZREALITY GmbH"
"1386","ParkourMan","Jul 24, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fury Games Production","Fury Games Production"
