Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Toro,2016-01-26,2.99,"0 .. 20,000",Recotechnology S.L.,Recotechnology S.L.,0.00E+00,2.00E+04,0,20.0K
Golf Ace,2020-05-15,1.99,"0 .. 20,000",Frutgames,Frutgames,0.00E+00,2.00E+04,0,20.0K
Prop Hunt,2021-03-26,9.99,"0 .. 20,000",HorseGames,HorseGames,0.00E+00,2.00E+04,0,20.0K
Slot Shots Pinball Collection,2022-10-18,14.99,"0 .. 20,000",Pinblend Studios,Pinblend Studios,0.00E+00,2.00E+04,0,20.0K
Catch Me!,2023-01-24,9.99,"0 .. 20,000",ByteRockers' Games,ByteRockers' Games,0.00E+00,2.00E+04,0,20.0K
Space Block Buster,2022-09-04,9.99,"0 .. 20,000",Reality MagiQ,Reality MagiQ,0.00E+00,2.00E+04,0,20.0K
Jerry Rice & Nitus' Dog Football,2016-02-11,2.99,"0 .. 20,000",JUDOBABY INC.,JUDOBABY INC.,0.00E+00,2.00E+04,0,20.0K
Social Club VR : Casino Nights,2018-06-21,19.99,"0 .. 20,000",Perilous Orbit,Perilous Orbit,0.00E+00,2.00E+04,0,20.0K
Energy Hook,2016-07-05,9.99,"0 .. 20,000",Happion Labs,Happion Labs,0.00E+00,2.00E+04,0,20.0K
Super Sportmatchen,2018-05-23,14.99,"0 .. 20,000",Kaj Forell Video Game Brand,DANGEN Entertainment,0.00E+00,2.00E+04,0,20.0K
Draft Day Sports: College Basketball 2020,2020-03-10,24.99,"0 .. 20,000",Wolverine Studios,Wolverine Studios,0.00E+00,2.00E+04,0,20.0K
Wordle 5,2022-10-10,0.28,"0 .. 20,000","PreoNus Games, Galina Kovaleva",Gigantum Games,0.00E+00,2.00E+04,0,20.0K
Pro Basketball Manager 2016,2016-01-14,14.99,"0 .. 20,000","Cyanide Studio, Umix Studios",Nacon,0.00E+00,2.00E+04,0,20.0K
Sky Sanctuary,2020-07-31,8.99,"0 .. 20,000",Glitchr Studio,Glitchr Studio,0.00E+00,2.00E+04,0,20.0K
Pizza Bike Rider,2020-05-27,0.99,"0 .. 20,000",Enaayah Software Development and Services Private Limited,Enaayah Software Development and Services Private Limited,0.00E+00,2.00E+04,0,20.0K
Worldwide Sports Fishing,2021-02-03,9.99,"0 .. 20,000",Lotte|EoD,Agger Interactive,0.00E+00,2.00E+04,0,20.0K
The Chess Variants Club,2020-12-15,2.74,"0 .. 20,000",Minimol Games,Minimol Games,0.00E+00,2.00E+04,0,20.0K
Air Hockey,2017-12-01,2.99,"0 .. 20,000",Standby,Standby,0.00E+00,2.00E+04,0,20.0K
Cricket Captain 2016,2016-07-04,9.99,"0 .. 20,000",Childish Things,KISS ltd,0.00E+00,2.00E+04,0,20.0K
Bocce Time! VR,2022-06-17,8.99,"0 .. 20,000",Deep Dive Interactive,Deep Dive Interactive,0.00E+00,2.00E+04,0,20.0K
Eggcelerate! to the Tropics,2023-03-30,11.99,"0 .. 20,000","Tim Beaudet, Tyre Bytes LLC",Tyre Bytes LLC,0.00E+00,2.00E+04,0,20.0K
Wonder Wickets,2018-10-17,9.99,"0 .. 20,000",Rightstick Studios,Rightstick Studios,0.00E+00,2.00E+04,0,20.0K
Legendary Hunter VR,2017-08-24,4.99,"0 .. 20,000",LastnOni,Frozen Dreams,0.00E+00,2.00E+04,0,20.0K
Cherry Tree High Girls' Fight,2016-06-13,12.99,"0 .. 20,000",773,Sekai Project,0.00E+00,2.00E+04,0,20.0K
DriftForce,2019-04-16,4.99,"0 .. 20,000",Greyish Games,Greyish Games,0.00E+00,2.00E+04,0,20.0K
Top Burger,2019-04-24,0.99,"0 .. 20,000",A Nostru,My Way Games,0.00E+00,2.00E+04,0,20.0K
PaintBall War 2,2022-01-07,3.99,"0 .. 20,000",ShadowWolf Games,ShadowWolf Games,0.00E+00,2.00E+04,0,20.0K
Boxing Club Manager,2022-10-07,39.99,"0 .. 20,000",Alternative Software Ltd,Alternative Software Ltd,0.00E+00,2.00E+04,0,20.0K
AudioBeats,2017-01-05,9.99,"0 .. 20,000",Famiku,Famiku,0.00E+00,2.00E+04,0,20.0K
Disc Golf Valley VR,2021-05-19,19.99,"0 .. 20,000",Spinoff Games,Spinoff Games,0.00E+00,2.00E+04,0,20.0K
Cricket Captain 2015,2015-07-08,9.99,"0 .. 20,000",Childish Things,KISS ltd,0.00E+00,2.00E+04,0,20.0K
Let's Ride! Silver Buckle Stables,2022-01-28,4.99,"0 .. 20,000",Coresoft Inc.,Cosmi Valusoft,0.00E+00,2.00E+04,0,20.0K
Arcane Golf,2018-07-26,2.99,"0 .. 20,000","FromLefcourt, thatgregperkins","FromLefcourt, thatgregperkins",0.00E+00,2.00E+04,0,20.0K
Wadality,2021-11-16,0.0,"0 .. 20,000",Manerai,Manerai LLC,0.00E+00,2.00E+04,0,20.0K
Blast Beat,2022-01-13,19.99,"0 .. 20,000",gz.inc,gz.inc,0.00E+00,2.00E+04,0,20.0K
DownStream: VR Whitewater Kayaking,2019-08-28,18.99,"0 .. 20,000",JumpStick,JumpStick,0.00E+00,2.00E+04,0,20.0K
