"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"5240","Tom Clancy’s The Division","Mar 7, 2016","$29.99","N/A (N/A)","5,000,000 .. 10,000,000","28:35 (09:31)","Massive Entertainment","Ubisoft"
"5244","Battlefield 2042","Nov 19, 2021","$59.99","N/A (N/A)","5,000,000 .. 10,000,000","06:15 (02:41)","DICE","Electronic Arts"
"5252","MultiVersus","Jul 19, 2022","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:35 (00:35)","Player First Games","Warner Bros. Games"
"5255","Scrap Mechanic","Jan 19, 2016","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","00:34 (00:11)","Axolot Games","Axolot Games"
"5257","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","04:56 (04:55)","The Behemoth","The Behemoth"
"5260","Sons Of The Forest","Feb 23, 2023","$29.99","N/A (N/A)","5,000,000 .. 10,000,000","06:03 (04:20)","Endnight Games Ltd","Newnight"
"5266","Battlefield V","Nov 9, 2018","$12.49","N/A (N/A)","5,000,000 .. 10,000,000","07:20 (03:44)","DICE","Electronic Arts"
"5268","NARAKA: BLADEPOINT","Aug 11, 2021","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","16:19 (06:14)","24 Entertainment","NetEase Games Global"
"5272","Halo: The Master Chief Collection","Dec 3, 2019","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","08:00 (15:19)","343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive","Xbox Game Studios"
"5274","Geometry Dash","Dec 22, 2014","$3.99","N/A (N/A)","5,000,000 .. 10,000,000","04:45 (00:18)","RobTop Games","RobTop Games"
"5276","The Binding of Isaac: Rebirth","Nov 4, 2014","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","05:29 (02:32)","Nicalis, Inc., Edmund McMillen","Nicalis, Inc."
"5277","Sea of Thieves 2023 Edition","Jun 3, 2020","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","11:10 (11:34)","Rare Ltd","Xbox Game Studios"
"5278","DayZ","Dec 13, 2018","$44.99","N/A (N/A)","5,000,000 .. 10,000,000","10:14 (05:38)","Bohemia Interactive","Bohemia Interactive"
"10731","Gene Shift Auto","May 23, 2017","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Nik Nak Studios","Nik Nak Studios"
