Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Crusader Kings II,2012-02-14,0.0,"2,000,000 .. 5,000,000",Paradox Development Studio,Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Awesomenauts - the 2D moba,2012-08-01,0.0,"2,000,000 .. 5,000,000",Ronimo Games,Ronimo Games,2.00E+06,5.00E+06,2.0M,5.0M
Star Conflict,2013-02-27,0.0,"2,000,000 .. 5,000,000",Star Gem Inc.,Gaijin Distribution KFT,2.00E+06,5.00E+06,2.0M,5.0M
Block N Load,2015-04-30,0.0,"2,000,000 .. 5,000,000","Toadman Interactive, Artplant",Toadman Interactive,2.00E+06,5.00E+06,2.0M,5.0M
DC Universe Online,2011-11-02,0.0,"2,000,000 .. 5,000,000",Dimensional Ink Games,Daybreak Game Company,2.00E+06,5.00E+06,2.0M,5.0M
Albion Online,2017-07-17,0.0,"2,000,000 .. 5,000,000",Sandbox Interactive GmbH,Sandbox Interactive GmbH,2.00E+06,5.00E+06,2.0M,5.0M
Star Trek Online,2010-02-02,0.0,"2,000,000 .. 5,000,000",Cryptic Studios,Gearbox Publishing,2.00E+06,5.00E+06,2.0M,5.0M
Spiral Knights,2011-06-14,0.0,"2,000,000 .. 5,000,000",Grey Havens,Grey Havens,2.00E+06,5.00E+06,2.0M,5.0M
Knight Online,2016-01-25,0.0,"2,000,000 .. 5,000,000","Noah System, Mgame",NTTGame,2.00E+06,5.00E+06,2.0M,5.0M
Line of Sight,2017-01-31,0.0,"2,000,000 .. 5,000,000",BlackSpot Entertainment,BlackSpot Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
GunZ 2: The Second Duel,2014-05-01,0.0,"2,000,000 .. 5,000,000","Masangsoft, Inc.","Masangsoft, Inc.",2.00E+06,5.00E+06,2.0M,5.0M
Stay Out,2019-11-27,0.0,"2,000,000 .. 5,000,000",MOBITECH LLC,MOBITECH LLC,2.00E+06,5.00E+06,2.0M,5.0M
WARMODE,2019-09-13,0.0,"2,000,000 .. 5,000,000",Novalink,Novalink,2.00E+06,5.00E+06,2.0M,5.0M
Century: Age of Ashes,2021-12-02,0.0,"2,000,000 .. 5,000,000",Playwing LTD,Playwing LTD,2.00E+06,5.00E+06,2.0M,5.0M
Codename CURE,2017-10-31,0.0,"2,000,000 .. 5,000,000",Hoobalugalar_X,Hoobalugalar_X,2.00E+06,5.00E+06,2.0M,5.0M
Toribash,2006-03-01,0.0,"2,000,000 .. 5,000,000",Nabi Studios,"Nicalis, Inc.",2.00E+06,5.00E+06,2.0M,5.0M
World of Guns: Gun Disassembly,2014-05-21,0.0,"2,000,000 .. 5,000,000",Noble Empire Corp.,Noble Empire Corp.,2.00E+06,5.00E+06,2.0M,5.0M
封灵档案,2021-03-01,0.0,"2,000,000 .. 5,000,000",（Hong Kong）GKD,（Hong Kong）GKD,2.00E+06,5.00E+06,2.0M,5.0M
Phantasy Star Online 2,2020-08-05,0.0,"2,000,000 .. 5,000,000",SEGA,SEGA,2.00E+06,5.00E+06,2.0M,5.0M
BLOCKADE 3D,2014-11-05,0.0,"2,000,000 .. 5,000,000",Novalink,Novalink,2.00E+06,5.00E+06,2.0M,5.0M
Bless Unleashed,2021-08-06,0.0,"2,000,000 .. 5,000,000",VALOFE,VALOFE,2.00E+06,5.00E+06,2.0M,5.0M
Dead Frontier 2,2019-07-15,0.0,"2,000,000 .. 5,000,000",Creaky Corpse Ltd,Creaky Corpse Ltd,2.00E+06,5.00E+06,2.0M,5.0M
Dungeon Defenders II,2017-06-20,0.0,"2,000,000 .. 5,000,000",Chromatic Games,Chromatic Games,2.00E+06,5.00E+06,2.0M,5.0M
Iron Snout,2016-01-27,0.0,"2,000,000 .. 5,000,000",SnoutUp,SnoutUp,2.00E+06,5.00E+06,2.0M,5.0M
The Expendabros,2014-08-05,0.0,"2,000,000 .. 5,000,000",Free Lives,Devolver Digital,2.00E+06,5.00E+06,2.0M,5.0M
Alien Swarm: Reactive Drop,2017-04-20,0.0,"2,000,000 .. 5,000,000",Reactive Drop Team,Reactive Drop Team,2.00E+06,5.00E+06,2.0M,5.0M
Conqueror's Blade,2019-05-30,0.0,"2,000,000 .. 5,000,000",Booming Tech,MY.GAMES,2.00E+06,5.00E+06,2.0M,5.0M
Transformice,2015-01-30,0.0,"2,000,000 .. 5,000,000",Atelier 801,Atelier 801,2.00E+06,5.00E+06,2.0M,5.0M
Russian Fishing 4,2021-11-10,0.0,"2,000,000 .. 5,000,000","FishSoft, LLC","FishSoft, LLC",2.00E+06,5.00E+06,2.0M,5.0M
DCS World Steam Edition,2018-03-18,0.0,"2,000,000 .. 5,000,000",Eagle Dynamics SA,advocatus,2.00E+06,5.00E+06,2.0M,5.0M
RISK: Global Domination,2020-02-19,0.0,"2,000,000 .. 5,000,000",SMG Studio,SMG Studio,2.00E+06,5.00E+06,2.0M,5.0M
The Cycle,2022-06-08,0.0,"2,000,000 .. 5,000,000",YAGER,YAGER,2.00E+06,5.00E+06,2.0M,5.0M
CRSED: F.O.A.D.,2019-12-12,0.0,"2,000,000 .. 5,000,000",Darkflow Software,Gaijin Distribution KFT,2.00E+06,5.00E+06,2.0M,5.0M
Fistful of Frags,2014-05-09,0.0,"2,000,000 .. 5,000,000",Fistful of Frags Team,Fistful of Frags Team,2.00E+06,5.00E+06,2.0M,5.0M
Yu-Gi-Oh! Duel Links,2017-11-16,0.0,"2,000,000 .. 5,000,000",Konami Digital Entertainment,Konami Digital Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
Eternal Return: Black Survival,2020-10-14,0.0,"2,000,000 .. 5,000,000",Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE), Nimble Neuron (Excluding EU,NA,OCE)",2.00E+06,5.00E+06,2.0M,5.0M
Fishing Planet,2015-08-11,0.0,"2,000,000 .. 5,000,000",Fishing Planet LLC,Fishing Planet LLC,2.00E+06,5.00E+06,2.0M,5.0M
Business Tour - Board Game with Online Multiplayer,2017-07-27,0.0,"2,000,000 .. 5,000,000",Creobit,8Floor,2.00E+06,5.00E+06,2.0M,5.0M
Crossout,2017-07-26,0.0,"2,000,000 .. 5,000,000",Targem Games,Gaijin Distribution KFT,2.00E+06,5.00E+06,2.0M,5.0M
Ultimate Custom Night,2018-06-27,0.0,"2,000,000 .. 5,000,000",Scott Cawthon,Scott Cawthon,2.00E+06,5.00E+06,2.0M,5.0M
Rec Room,2016-06-01,0.0,"2,000,000 .. 5,000,000",Rec Room,Rec Room,2.00E+06,5.00E+06,2.0M,5.0M
Everlasting Summer,2014-11-19,0.0,"2,000,000 .. 5,000,000",Soviet Games,Soviet Games,2.00E+06,5.00E+06,2.0M,5.0M
Deceit,2017-03-03,0.0,"2,000,000 .. 5,000,000",World Makers,World Makers,2.00E+06,5.00E+06,2.0M,5.0M
Totally Accurate Battlegrounds,2018-06-05,0.0,"2,000,000 .. 5,000,000",Landfall,Landfall,2.00E+06,5.00E+06,2.0M,5.0M
Helltaker,2020-05-11,0.0,"2,000,000 .. 5,000,000",vanripper,vanripper,2.00E+06,5.00E+06,2.0M,5.0M
Guild Wars 2,2022-08-23,0.0,"1,000,000 .. 2,000,000",ArenaNet®,NCSOFT,1.00E+06,2.00E+06,1.0M,2.0M
Tribes: Ascend,2012-06-27,0.0,"1,000,000 .. 2,000,000",Hi-Rez Studios,Hi-Rez Studios,1.00E+06,2.00E+06,1.0M,2.0M
ArcheAge,2015-03-26,0.0,"1,000,000 .. 2,000,000",XLGAMES,Kakao Games Europe B.V.,1.00E+06,2.00E+06,1.0M,2.0M
Card Hunter,2015-07-13,0.0,"1,000,000 .. 2,000,000",The Knights of Unity,The Knights of Unity,1.00E+06,2.00E+06,1.0M,2.0M
Knockout City,2021-05-21,0.0,"1,000,000 .. 2,000,000",Velan Studios,Velan Studios,1.00E+06,2.00E+06,1.0M,2.0M
KARDS - The WWII Card Game,2020-04-15,0.0,"1,000,000 .. 2,000,000",1939 Games,1939 Games,1.00E+06,2.00E+06,1.0M,2.0M
GWENT: The Witcher Card Game,2020-05-19,0.0,"1,000,000 .. 2,000,000",CD PROJEKT RED,CD PROJEKT RED,1.00E+06,2.00E+06,1.0M,2.0M
Vindictus,2012-06-22,0.0,"1,000,000 .. 2,000,000",devCAT,NEXON Korea Corp. & NEXON America Inc.,1.00E+06,2.00E+06,1.0M,2.0M
WAKFU,2014-09-18,0.0,"1,000,000 .. 2,000,000",Ankama Studio,Ankama Games,1.00E+06,2.00E+06,1.0M,2.0M
Stronghold Kingdoms,2012-02-27,0.0,"1,000,000 .. 2,000,000",FireFly Studios,FireFly Studios,1.00E+06,2.00E+06,1.0M,2.0M
Champions Online,2009-09-01,0.0,"1,000,000 .. 2,000,000",Cryptic Studios,Gearbox Publishing,1.00E+06,2.00E+06,1.0M,2.0M
Fallen Earth Free2Play,2011-10-12,0.0,"1,000,000 .. 2,000,000",Little Orbit,Little Orbit,1.00E+06,2.00E+06,1.0M,2.0M
BRINK,2011-05-09,0.0,"1,000,000 .. 2,000,000",Splash Damage,Bethesda Softworks,1.00E+06,2.00E+06,1.0M,2.0M
Ring of Fire: Prologue,2020-12-15,0.0,"1,000,000 .. 2,000,000","de Fault, Chard",Far Few Giants,1.00E+06,2.00E+06,1.0M,2.0M
Prismata,2018-03-08,0.0,"1,000,000 .. 2,000,000",Lunarch Studios,Lunarch Studios,1.00E+06,2.00E+06,1.0M,2.0M
Guns and Robots,2014-08-04,0.0,"1,000,000 .. 2,000,000",Masthead Studios Ltd,"Masthead Studios Ltd, Thegamewallstudios, Gamigo AG",1.00E+06,2.00E+06,1.0M,2.0M
Brick-Force,2012-07-12,0.0,"1,000,000 .. 2,000,000",Exe Games Inc.,Infernum Games GmbH,1.00E+06,2.00E+06,1.0M,2.0M
Ragnarok Online 2,2013-05-01,0.0,"1,000,000 .. 2,000,000","Gravity, Inc.",Gravity Interactive,1.00E+06,2.00E+06,1.0M,2.0M
Builders of Egypt: Prologue,2020-03-02,0.0,"1,000,000 .. 2,000,000",Strategy Labs,"Strategy Labs, PlayWay S.A., CreativeForge Games",1.00E+06,2.00E+06,1.0M,2.0M
Modern Combat 5,2018-10-24,0.0,"1,000,000 .. 2,000,000",Gameloft,Gameloft,1.00E+06,2.00E+06,1.0M,2.0M
School of Dragons,2014-12-04,0.0,"1,000,000 .. 2,000,000","JumpStart Games, Inc.","JumpStart Games, Inc.",1.00E+06,2.00E+06,1.0M,2.0M
Shadow Arena,2020-05-21,0.0,"1,000,000 .. 2,000,000",Pearl Abyss,Pearl Abyss,1.00E+06,2.00E+06,1.0M,2.0M
High Octane Drift,2016-10-11,0.0,"1,000,000 .. 2,000,000",Cruderocks,Cruderocks,1.00E+06,2.00E+06,1.0M,2.0M
Dead Maze,2018-02-13,0.0,"1,000,000 .. 2,000,000",Atelier 801,Atelier 801,1.00E+06,2.00E+06,1.0M,2.0M
Panzar,2013-04-12,0.0,"1,000,000 .. 2,000,000",Panzar Studio,OVALIS INVESTMENTS LIMITED,1.00E+06,2.00E+06,1.0M,2.0M
BrainBread 2,2016-07-20,0.0,"1,000,000 .. 2,000,000",Reperio Studios,Reperio Studios,1.00E+06,2.00E+06,1.0M,2.0M
Strife,2015-05-22,0.0,"1,000,000 .. 2,000,000",S2 Games,S2 Games,1.00E+06,2.00E+06,1.0M,2.0M
Worm.is: The Game,2016-05-04,0.0,"1,000,000 .. 2,000,000",Freakinware Studios,Freakinware Studios,1.00E+06,2.00E+06,1.0M,2.0M
LET IT DIE,2018-09-26,0.0,"1,000,000 .. 2,000,000","GRASSHOPPER MANUFACTURE INC., SUPERTRICK GAMES, Inc.","GungHo Online Entertainment America, Inc.",1.00E+06,2.00E+06,1.0M,2.0M
Teeworlds,2007-05-27,0.0,"1,000,000 .. 2,000,000",Teeworlds Team,Teeworlds Team,1.00E+06,2.00E+06,1.0M,2.0M
