"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"8221","Jiguland","Oct 20, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jiguman","Jiguman"
"8222","Costume Kingdom","Dec 7, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stratton Studios","Stratton Studios"
"8223","Stranded 2","Oct 19, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JimJams Games","JimJams Games"
"8224","Cradle of Links","Dec 1, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MEGALODON games","ReloadWorld Games"
"8225","Ostatni Dzien w Pracy","Nov 5, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YsztyXMastery","YsztyXMastery"
"8226","Cave Explorers","Oct 8, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MarkV","MarkV"
"8227","Did You Hear That?","Nov 20, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vimes Entertainment","Vimes Entertainment"
"8228","Omi Domini","Dec 4, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ominous Horizon Studios","Ominous Horizon Studios"
"8229","Adventures of Megara: Antigone and the Living Toys","Dec 10, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GameOn Production","Jetdogs Studios"
"8230","Folkloric Excursion","Dec 10, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wendell Gomes","Wendell Gomes"
"8231","The Dark Way","Oct 29, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Abdualziz alotaibi","Abdualziz alotaibi"
"8232","Ultra Imposer","May 19, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nest Egg Games, LLC","Nest Egg Games, LLC"
"8233","The Last Islands of Man","Jan 8, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Forked Tail Studio","Forked Tail Studio"
"8235","Insect: Bombardier beetle","Dec 22, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JKGames","JKGames"
"8236","Surprising My Neighbors 2","Mar 1, 2023","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Biscuit Play","Biscuit Play"
"8237","The Alpha 001","Jan 18, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZettaZed","ZettaZed"
"8238","Freed Soft","Mar 19, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RDU Game IT company","RDU Game IT company"
"8239","Adventure Field 4","Feb 7, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wathitdew Record","Wathitdew Record"
"8240","The Bits That Saved the Galaxy","Apr 30, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","James C Gray","James C Gray"
"8241","蘑菇的冒险 MoGu's Adventure","Feb 26, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LaoMaoGame","LaoMaoGame"
"8242","Tiani","Mar 6, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ken Langella","Ken Langella"
"8243","Slayer Cat","Sep 22, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ducktail Games","Ducktail Games"
"8244","One Try Tower","Jun 7, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bilzivar","The Overall Angle"
"8245","Godkiller","Aug 1, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oung Oung","Oung Oung"
"8246","The Immortal","Mar 30, 2021","$3.19","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Will Harvey","Piko Interactive LLC, Bleem!"
"8247","Triple Dungeon","Mar 22, 2021","$5","N/A (N/A)","0 .. 20,000","00:00 (00:00)","bankbank","Wainstop James"
"8249","Flag Color Number - Painting and Coloring","May 12, 2021","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"8250","Soralio: Cooperation mystery solving game","May 7, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beespiel","Beespiel"
"8251","One Escape","Dec 3, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BUG-Studio","Ratalaika Games S.L."
"8252","Azy","Jan 28, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Waqudoo","Waqudoo"
"8253","Noah's Ark","Mar 30, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Source Research and Development","Piko Interactive LLC, Bleem!"
"8254","深渊","Aug 25, 2021","$1.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","青灯独酌","青灯独酌"
"8256","Route Me Mail and Delivery Co","Aug 18, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elushis","Elushis Music & Gaming"
"8257","Abandoned Croxon Mansion","Jul 16, 2021","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anamik Majumdar","Anamik Majumdar"
"8258","Hate Free Heroes RPG [2D/3D RPG Enhanced]","Mar 7, 2022","$11.24","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hate Free Heroes","Hate Free Heroes"
"8259","Lake of Shadows","Aug 25, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Justin Admaja","Justin Admaja"
"8260","Glizzy Gobbler","Mar 31, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TGMB Studio","TGBM Studio"
"8261","Small Town Terrors: Galdor's Bluff Collector's Edition","Apr 22, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gunnar Games","Gunnar Games"
"8262","Reconnect","Apr 5, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HFOTA","HFOTA"
"8263","Gang of Paws","Jul 19, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Arkuni","Arkuni"
"8264","Luminyte","Jul 29, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baerenbytes","baerenbytes"
"8265","Aquarium Travels","Dec 14, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","C. Eduardo Nuñez U.","Eduardo Nuñez"
"8267","Blue Rabbit","Jun 7, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","J.P. van Osta","Coughing Dragon"
"8268","Hidden Expedition: A King's Line Collector's Edition","Jun 25, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Domini Games","Big Fish Games"
"8269","Calmed by the Dark Leviathan","Nov 29, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Calmed by the Dark Games","Calmed by the Dark Games"
"8270","Iselin Saga","Jul 14, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seven Sails Games","Seven Sails Games"
"8271","Rabbit Hole","Aug 31, 2021","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Young Jewel","Young Jewel"
"8272","One Fateful Night","Sep 20, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chaotic Vector Studios LLC","Chaotic Vector Studios LLC"
"8273","Campfire Tales","Oct 28, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mow Mow","Mow Mow"
"8276","GoldfishFlap","Oct 12, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beshu, GoldfishFlap","Beshu"
"8277","Camelot: Wrath of the Green Knight","Oct 20, 2021","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tall Tale Games Ltd, Wonderland","Tall Tale Games Ltd"
"8278","XPLORASI3D","Oct 18, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Syahir Bahiran Hilmi","MULTIPDPKIT"
"8279","Unstrong: Space Calamity","Dec 7, 2021","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","origamihero games","origamihero games"
"8280","Vacation Adventures: Cruise Director 4","Nov 4, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Casual Arts","Casual Arts"
"8281","Break Robots VR","Oct 26, 2021","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YOHCAN Co., Ltd.","YOHCAN Co., Ltd."
"8282","Bomb Sweeper - Mine Finder","Oct 27, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ozan SEN","Ozan SEN"
"8283","Faster Than Possible","Nov 5, 2021","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tegridy Made Games","Tegridy Made Games"
"8284","Alchera","Jul 16, 2022","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Unisclord Game Studio","Unisclord Game Studio"
"8286","Faded Memories: Video Game Edition","Nov 13, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vasi Games","Vasi Games"
"8287","Mysterious Night (The First Night)","Nov 13, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","THung","THung"
"8288","Find The Cat","May 6, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quentin Edel","Quentin Edel"
"8289","Pranksterz: Off Your Boss","Jan 21, 2022","$3.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game Factory Interactive Ltd.","Game Factory Interactive Ltd."
"8290","Humanities Legend: Hollow Ascending","Dec 14, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Derek Tanis","Derek Tanis"
"8291","Zephyrus Prelude","Dec 20, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MageLoop","MageLoop"
"8293","Broken","Jan 30, 2022","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ben Simms","Thieving Pixels"
"8294","Where's My Horse? An Escape the Room Adventure","Jan 14, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eric Donaldson","Eric Donaldson"
"8295","Bridge to Another World: Christmas Flight Collector's Edition","Jan 5, 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Friendly Fox","Big Fish Games"
"8296","Roll Ball Adventures","Feb 2, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sentiler s.r.o.","Sentiler s.r.o."
"8297","Crossroads: On a Just Path Collector's Edition","Jan 18, 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elephant Games","Big Fish Games"
"8299","Aldebaran Legend","Oct 27, 2022","$1.74","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Solitude Games","Solitude Games"
"8300","Mutant","Jan 24, 2022","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Napoleon Games","Strategy First"
"8301","Escape","Feb 7, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","criswei","criswei"
"8303","Innocence Island","Sep 15, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rainy Night Creations","Rainy Night Creations"
"8304","TNTODION","May 12, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FEDYA CLAPTON inc.","FEDYA CLAPTON inc."
"8307","Pet Vet 3D Animal hospital Down Under","Apr 21, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Braingame","Braingame"
"8308","VR LightingClimbing","Mar 31, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","光驱游戏","光驱游戏"
"8309","The Legend of Gandar","Apr 26, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jeddead","Jeddead"
"8311","Nature's Habit","Apr 7, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wassem Bata, Tariq Hassan","Wassem Bata"
"8312","Zion Survivors","May 6, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Xenon Lu","WELOVEBOT CO., LTD."
"8313","Infinite Links","May 11, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exe Create Inc.","KEMCO"
"8314","M87","Aug 20, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Georgios Grigoriadis, Adam Lantzourakis","MadFrogGames"
"8315","出发吧冒险家","Jun 1, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","海上游戏","海上游戏"
"8316","Nine Lives or Less","Jun 17, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tabby Cat","Tabby Cat"
"8317","DarkSelf: Other Mind","Jun 8, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TiagoChefe Studio","TiagoChefe Studio"
"8318","Collapse Relapse","Jun 22, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jermrellum","Jermrellum"
"8319","Boltcraft","Jul 28, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mence","Mence"
"8321","Paranoya","Nov 30, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jean Claude, BlingBlingBoy","Jean Claude"
"8322","Treefender","Jul 14, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BLAV","BLAV"
"8323","The Legend of Azarias","Jul 6, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michael Richard Lannon","Michael Richard Lannon"
"8324","Ahack Adventure 2: Quest For The Ciggy","Jul 18, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","QSHV","QSHV"
"8325","Who Stole My Sheep?","Jun 29, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kafocado","Kafocado"
"8326","The Quest For Excalibur - Puy Du Fou","Jul 19, 2022","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Balio Studios","Microids"
"8327","PARTHIAN STRIKE","Aug 2, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SG Game","SG Game"
"8328","Domum","Jul 29, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Forgotten Code","Forgotten Code"
"8330","The Sob Island","Oct 24, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Green River Studio","Green River Studio"
"8331","TheFighters Online","Aug 8, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","skullsameh","skullsameh"
"8332","Mr.Egg:Adventure","Aug 11, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","林宇亨Mr.X","X-Studio"
"8333","슬픈 가족사 - 산장으로부터의 탈출","Aug 25, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","C's earth","C's earth"
"8334","Sins From Magdala","Nov 18, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SenyorPersona","SenyorPersona"
"8335","May's Mysteries: The Secret of Dragonville Remastered","Aug 30, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","V5 Play","Klabater"
"8336","Hansel And Gretel","Nov 4, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Neve Braymok","Neve Braymok"
"8337","Cracked","Oct 12, 2022","$3.74","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Void Chamber","Void Chamber"
"8338","The Levels of Backrooms","Oct 28, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FigaroGameStudios","FigaroGameStudios"
"8339","Cat and Watermouse","Sep 21, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ROBObermann","ROBObermann"
"8340","Charley's Day","Sep 30, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Monello.B","Monello.B"
"8341","Pressure Within","Oct 25, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mikel Rhuvari","Quirky Labs"
"8342","Rocket Inc","Oct 28, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Volkan USUĞLU, Abdulkerim YILDIRIM, Emrah TORTUK","Kuark"
"8343","Pot Breaker","Oct 31, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stuart Rutter","Stuart Rutter"
"8344","Patty Pepperton in The Pumpkin Patch","Nov 1, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","IceVayne Games","IceVayne Games"
"8345","Ghost Village","Nov 3, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","STuNT","STuNT"
"8346","Dark City: International Intrigue Collector's Edition","Oct 28, 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Friendly Fox","Big Fish Games"
"8347","Candy Maid","Nov 11, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rosa Special Studio","Unreal Quality Games"
"8348","Lost Memories","Jan 1, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sheer Studios","Sheer Studios"
"8349","I'll save the world of harem - Isekai Harem Saver -","Nov 16, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CyberStep, Inc., Rideon Works Co. Ltd,","CyberStep, Inc."
"8350","Escape Halloween Forest","Nov 18, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jonathan Moye","Jonathan Moye"
"8351","Crossroads: Escaping the Dark Collector's Edition","Nov 10, 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elephant Ar","Big Fish Games"
"8352","A Midnight Village Story","Dec 13, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Slime Guild","Elvish Raven"
"8353","Shadow Lens","Jan 5, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kane YC","Shadow Lens inc"
"8355","Aeolus Fighter","Dec 16, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XF Game","XF Game"
"8356","Christmas Stories: Taxi of Miracles Collector's Edition","Dec 9, 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elephant Ar","Big Fish Games"
"8357","A dream that never wakes up","Dec 22, 2022","$119.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Moplast","Moplast"
"8358","Midnight Alert","Jan 11, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","J-Tech Studio","J-Tech Studio"
"8359","Dark Shrine","Jan 18, 2023","$0.69","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ciel45","ciel45"
"8360","Upgrader","Feb 7, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Socks Studio","Lunatic Studio"
"8361","隐秘任务  the Secret Ops","Jan 21, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PeterJuee","PeterJuee"
"8363","Akari: School Trip","Jan 26, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YebisuTechnology","YebisuTechnology"
"8364","Swordy Quest VR","Jan 27, 2023","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seligman Ventures Global Ltd","Seligman Ventures Global Ltd"
"8365","Death Trials (Director's Cut)","Feb 8, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Made in America Media, LLC","Made in America Media, LLC"
"8366","Legendary Realms: A Fantasy World Odyssey","Mar 23, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Golden Harvest Games","Golden Harvest Games"
"8367","The PenguinGame -Antarctic Savior-","Mar 23, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Reno Games","Reno Games"
"8368","Mizz Survival","Apr 4, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Genesis Gaming Network","Genesis Gaming Network"
"8369","The Dungeon Vendor","Apr 6, 2023","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thirty55 Design","Thirty55 Design"
"8370","Philia : the Sequel to Elansar","Jan 1, 2014","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OrionSoft","OrionSoft"
"8371","Tormented 12","Jul 7, 2016","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Leon aminof","Leon aminof"
"8372","The Last","Aug 20, 2016","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mateusz Kuliś","Mateusz Kuliś"
"8373","Chaos Of Hearts","Sep 16, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anime Hearts","Anime Hearts"
"8374","1-2-Swift","Jan 29, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MNGOVR","PITAYA NETWORK LIMITED"
"8375","VR Guest","Jun 1, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alison M. Bailey, Chronos Development Studios","Chronos Development Studios"
"8376","Twin Roads","Jul 5, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WarPI Games","WarPI Games"
"8378","Upside-Down Dimensions","Aug 9, 2017","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hydra Interactive","Hydra Interactive"
"8379","Dragon's Lunch","Sep 12, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jonathan McCarthy","Flying Interactive"
"8380","Toy Goblins","Oct 5, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lemonauts","Lemonauts"
"8381","Tales of Terror: House on the Hill Collector's Edition","Oct 24, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Deep Shadows Games","Big Fish Games"
"8382","Inner Mazes - Souls Guides","Nov 9, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ilex Games","Ilex Games"
"8383","Haunted Legends: The Undertaker Collector's Edition","Jan 10, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AMAX Interactive","Big Fish Games"
"8384","Sick Coaster","Jan 19, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Maestro Créations","Maestro Créations"
"8385","S.U.B.","Feb 4, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spreadable Fruit Games, Brametjuhh, YinUkume, Zupami, Azurekai, Dwightojo, ChriticalHit","Spreadable Fruit"
"8386","Dungeon Puzzle VR - Solve it or die","Oct 23, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Odooh Games","Odooh Games"
"8388","Final Cut: The True Escapade Collector's Edition","Apr 25, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eipix Entertainment","Big Fish Games"
"8391","遇见猎人","May 25, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","亘游","亘游"
"8392","DeadlandVR : Action Shooter FPS","Apr 2, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Khizar Awan","Spur Arts"
"8393","The Lost And Forgotten: Part 1","Aug 31, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Abstract Games Studio","Abstract Games Studio"
"8394","Defenders of Ekron - Definitive Edition","Aug 7, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","In Vitro Games","In Vitro Games"
"8395","The Eerie Inn VR","Aug 23, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Historajzer","Historajzer"
"8396","BreakHack","Sep 25, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oliveshark","Oliveshark"
"8397","Temple of the Lost","Sep 11, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dosinis","dosinis"
"8398","Dark Asylum: Mystery Adventure","Sep 18, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Komar Games","Dikobraz Games"
"8399","The detective ChuLin","Sep 23, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lan Yu","Lan Yu"
"8400","Chronus Arc","Nov 14, 2018","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hit-Point Co.,Ltd.","KEMCO"
"8401","Lost Letters (of Seraphina)","Oct 31, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wicked Alley, LUXI","Wicked Alley"
"8402","Wildest of the Wild","Nov 1, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dmitry Morozov","Dmitry Morozov"
"8403","Final Cut: Fame Fatale Collector's Edition","Nov 12, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eipix Entertainment","Big Fish Games"
"8404","Kobold Slayer","Nov 25, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Montino","Montino"
"8405","Vertical Fall","Dec 9, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MATRE","MATRE"
"8406","Kid Baby: Starchild","Apr 24, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Exit Earth Entertainment","Exit Earth Entertainment"
"8407","Color Knight","Dec 20, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BlueTreeGames","BlueTreeGames"
"8408","Dinosaurus Life VR","Dec 7, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thomas LEMANISSIER","Maestro Creations"
"8409","Starquake Academy","Dec 10, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lux Science","Lux Science"
"8410","Too Hot!","Dec 15, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","House of Mallows","House of Mallows"
"8411","Werewolf Hunter X","Dec 28, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sea Creature Sandwich","Sea Creature Sandwich"
"8412","Noel's Hope","Jan 28, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Valsidalv N","Valsidalv N"
"8413","Echoes of the Past: The Citadels of Time Collector's Edition","Jan 18, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Orneon","Big Fish Games"
"8414","the LAST LETTER","Dec 30, 2018","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Donuts Co. Ltd.","Donuts Co. Ltd."
"8415","Archibald 2","Apr 11, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","azimuth team","azimuth team"
"8416","All Evil Night 2","May 30, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mikhail Ramanouski","Mikhail Ramanouski"
"8417","Night & Day","Apr 21, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Genexsin","Genexsin"
"8418","香江之龙，Dragon of Hongkong","Aug 19, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio TAPAS","Studio TAPAS"
"8419","Tinhead","Aug 23, 2019","$3.19","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Microprose","Piko Interactive LLC, Bleem!"
"8420","Maze","Aug 30, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","StarJumping Studio","StarJumping Studio"
"8421","War Ghost","Sep 6, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Luiz Felipe Da Silva Marian","Mushroom Angels Games"
"8422","Ladies Orders","Aug 27, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blue Sky Games","Blue Sky Games"
"8423","Urban riots","Sep 9, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","杰游科技","杰游科技"
