"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"4","Half-Life: Alyx","Mar 23, 2020","$59.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","01:04 (00:23)","Valve","Valve"
"5","God of War","Jan 14, 2022","$49.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","13:43 (19:14)","Santa Monica Studio","PlayStation PC LLC"
"13","Batman: Arkham Asylum Game of the Year Edition","Mar 26, 2010","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","17:56 (05:58)","Rocksteady Studios","Warner Bros. Interactive Entertainment"
"14","Batman: Arkham City - Game of the Year Edition","Sep 7, 2012","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","09:02 (05:58)","Rocksteady Studios","Warner Bros. Interactive Entertainment"
"15","Dishonored","Oct 8, 2012","$9.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","05:36 (06:18)","Arkane Studios","Bethesda Softworks"
"16","METAL GEAR SOLID V: THE PHANTOM PAIN","Sep 1, 2015","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:10 (00:05)","Konami Digital Entertainment","Konami Digital Entertainment"
"35","Dead Cells","Aug 6, 2018","$24.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","04:43 (02:34)","Motion Twin","Motion Twin"
"42","Mafia","Aug 28, 2002","$4.94","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","Illusion Softworks","2K"
"46","Torchlight II","Sep 20, 2012","$14.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","09:21 (03:07)","Runic Games","Gearbox Publishing"
"47","The Stanley Parable","Oct 17, 2013","$14.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:11 (00:03)","Galactic Cafe","Galactic Cafe"
"48","LIMBO","Aug 2, 2011","$9.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:01 (00:00)","Playdead","Playdead"
"50","Far Cry 3","Dec 4, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","01:51 (01:13)","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft"
"70","Dead Space 2","Jan 25, 2011","$19.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","00:00 (00:00)","Visceral Games","Electronic Arts"
"72","Dead Space (2008)","Oct 20, 2008","$19.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","00:00 (00:00)","EA Redwood Shores","Electronic Arts"
"73","INSIDE","Jul 7, 2016","$19.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","01:43 (01:34)","Playdead","Playdead"
"93","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"95","Assassin's Creed 2","Mar 9, 2010","$19.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","02:24 (01:35)","Ubisoft Montreal","Ubisoft"
"97","Saints Row IV: Re-Elected","Aug 19, 2013","$19.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","08:40 (05:46)","Deep Silver Volition","Deep Silver"
"98","Rise of the Tomb Raider","Feb 9, 2016","$9.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","01:44 (01:09)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes","Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)"
"130","Amnesia: The Dark Descent","Sep 8, 2010","$19.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Frictional Games","Frictional Games"
"134","Papers, Please","Aug 8, 2013","$9.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","04:33 (07:14)","Lucas Pope","3909"
"135","BattleBlock Theater","May 15, 2014","$14.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","01:15 (00:49)","The Behemoth","The Behemoth"
"167","Trine 2: Complete Story","Jun 6, 2013","$1.24","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:22 (00:07)","Frozenbyte","Frozenbyte"
"171","SOMA","Sep 21, 2015","$29.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Frictional Games","Frictional Games"
"172","Just Cause 2","Mar 23, 2010","$14.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Avalanche Studios","Square Enix"
"173","SPORE","Dec 19, 2008","$4.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","03:19 (03:08)","Maxis™","Electronic Arts"
"174","The Binding of Isaac","Sep 28, 2011","$4.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","37:27 (24:57)","Edmund McMillen, Florian Himsl","Edmund McMillen"
