Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
Nioh 2 – The Complete Edition,2021-02-05,49.99,"500,000 .. 1,000,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+05,1000000.0,500.0K,1.0M,igual,1,0,0,0,0,0,0,1,0,0,2021.0,5
Wo Long: Fallen Dynasty,2023-03-03,59.99,"500,000 .. 1,000,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD., CE-Asia(Asia)",5.00E+05,1000000.0,500.0K,1.0M,distinto,1,1,0,0,0,0,0,1,0,0,2023.0,5
Far Cry Primal,2016-02-29,29.99,"500,000 .. 1,000,000",Ubisoft,Ubisoft,5.00E+05,1000000.0,500.0K,1.0M,igual,1,1,0,0,0,0,0,0,0,0,2016.0,4
DEAD OR ALIVE 6,2019-02-28,59.99,"500,000 .. 1,000,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+05,1000000.0,500.0K,1.0M,igual,1,0,0,0,0,0,0,0,0,0,2019.0,5
One Piece Pirate Warriors 3,2015-08-27,39.99,"500,000 .. 1,000,000","KOEI TECMO GAMES CO., LTD.",BANDAI NAMCO Entertainment,5.00E+05,1000000.0,500.0K,1.0M,distinto,1,0,0,0,0,0,0,0,0,0,2015.0,5
Devil May Cry HD Collection,2018-03-13,29.99,"500,000 .. 1,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",5.00E+05,1000000.0,500.0K,1.0M,igual,1,0,0,0,0,0,0,0,0,0,2018.0,2
Resident Evil 0,2016-01-19,19.99,"500,000 .. 1,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",5.00E+05,1000000.0,500.0K,1.0M,igual,1,1,0,0,0,0,0,0,0,0,2016.0,2
Valkyria Chronicles,2014-11-11,19.99,"500,000 .. 1,000,000",SEGA,SEGA,5.00E+05,1000000.0,500.0K,1.0M,igual,1,0,0,0,1,0,0,1,0,0,2014.0,7
Sonic Adventure 2,2012-11-19,9.99,"500,000 .. 1,000,000",SEGA,SEGA,5.00E+05,1000000.0,500.0K,1.0M,igual,1,0,0,0,0,0,0,0,0,0,2012.0,7
Minicraft Shooter,2021-02-26,0.99,"500,000 .. 1,000,000",Sweet Games,Sweet Games,5.00E+05,1000000.0,500.0K,1.0M,igual,1,1,0,0,0,0,0,1,1,1,2021.0,8
Tom Clancy's Splinter Cell,2003-02-18,9.99,"200,000 .. 500,000",Ubisoft,Ubisoft,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,0,0,0,2003.0,4
Beyond Good and Evil,2003-11-11,9.99,"200,000 .. 500,000",Ubisoft,Ubisoft,2.00E+05,500000.0,200.0K,500.0K,igual,1,1,0,0,0,0,0,0,0,0,2003.0,4
Valkyria Chronicles 4 Complete Edition,2018-09-25,49.99,"200,000 .. 500,000",SEGA,SEGA,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,1,0,0,1,0,0,2018.0,7
Prince of Persia: Warrior Within,2004-11-30,9.99,"200,000 .. 500,000",Ubisoft,Ubisoft,2.00E+05,500000.0,200.0K,500.0K,igual,1,1,0,0,0,0,0,0,0,0,2004.0,4
FINAL FANTASY TYPE-0 HD,2015-08-18,29.99,"200,000 .. 500,000",Square Enix,Square Enix,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,1,0,0,2015.0,9
Lost Planet: Extreme Condition,2007-06-26,14.99,"200,000 .. 500,000","CAPCOM Co., Ltd.",Capcom,2.00E+05,500000.0,200.0K,500.0K,distinto,1,1,0,0,0,0,0,0,0,0,2007.0,2
Devil May Cry 3 Special Edition,2006-05-23,19.99,"200,000 .. 500,000","CAPCOM Co., Ltd.",Capcom,2.00E+05,500000.0,200.0K,500.0K,distinto,1,0,0,0,0,0,0,0,0,0,2006.0,2
Dinosaur Hunt,2015-09-17,0.99,"200,000 .. 500,000",Racing Bros,ANPA.US,2.00E+05,500000.0,200.0K,500.0K,distinto,1,1,0,0,0,0,0,0,1,1,2015.0,10
Crazy Taxi,2011-03-04,7.99,"200,000 .. 500,000",SEGA,SEGA,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,0,0,0,2011.0,7
Attack on Titan 2 - A.O.T.2,2018-03-14,59.99,"200,000 .. 500,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,0,0,0,2018.0,5
Retrowave,2022-05-06,1.49,"200,000 .. 500,000",RewindApp,RewindApp,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,0,1,1,2022.0,11
FINAL FANTASY VII REMAKE INTERGRADE,2022-06-17,69.99,"200,000 .. 500,000",Square Enix,Square Enix,2.00E+05,500000.0,200.0K,500.0K,igual,1,1,0,0,0,0,0,1,0,0,2022.0,9
Starship Annihilator,2016-09-02,1.99,"200,000 .. 500,000",IR Studio,IR Studio,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,0,0,1,2016.0,12
Zoop! - Hunter's Grimm,2017-03-03,1.99,"200,000 .. 500,000",Warfare Studios,Senpai Studios,2.00E+05,500000.0,200.0K,500.0K,distinto,1,1,0,0,0,0,0,1,0,1,2017.0,13
Red Wake Carnage,2017-08-31,0.99,"200,000 .. 500,000",Racing Bros,ANPA.US,2.00E+05,500000.0,200.0K,500.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,10
Machine Hunt,2017-05-15,0.99,"200,000 .. 500,000",Racing Bros,ANPA.US,2.00E+05,500000.0,200.0K,500.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,10
Blood Feed,2017-07-19,0.99,"200,000 .. 500,000",Racing Bros,ANPA.US,2.00E+05,500000.0,200.0K,500.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,10
Puyo Puyo Tetris 2,2021-03-23,29.99,"200,000 .. 500,000",SEGA,SEGA,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,0,0,0,2021.0,7
Resident Evil Re:Verse,2022-10-27,39.99,"200,000 .. 500,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,0,0,0,2022.0,2
Secret of Mana,2018-02-15,39.99,"200,000 .. 500,000",Square Enix,Square Enix,2.00E+05,500000.0,200.0K,500.0K,igual,1,0,0,0,0,0,0,1,0,0,2018.0,9
WARRIORS OROCHI 3 Ultimate Definitive Edition,2022-07-12,39.99,"100,000 .. 200,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1.00E+05,200000.0,100.0K,200.0K,igual,1,0,0,0,1,0,0,0,0,0,2022.0,5
