Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
LONGEYED PROJ,2022-12-14,8.99,"0 .. 20,000",wadishTheCreator,wadishTheCreator,0.00E+00,2.00E+04,0,20.0K
Marcus Level,2016-01-20,4.99,"0 .. 20,000",3DDUO,"Fun4Family, Plug In Digital",0.00E+00,2.00E+04,0,20.0K
SteamHammerVR - The Rogue Apprentice,2017-07-31,14.99,"0 .. 20,000",GamestormVR,Showstorm Ltd,0.00E+00,2.00E+04,0,20.0K
FallenCore,2018-02-26,2.99,"0 .. 20,000",Ad Aspera,Arrible,0.00E+00,2.00E+04,0,20.0K
Bunny adventure,2018-02-14,0.99,"0 .. 20,000",CASGames,CASGames,0.00E+00,2.00E+04,0,20.0K
Linked Mask,2022-09-08,10.99,"0 .. 20,000",Spoonman Games,Spoonman Games,0.00E+00,2.00E+04,0,20.0K
Disaster,2022-01-12,4.39,"0 .. 20,000",Enoops,Enoops,0.00E+00,2.00E+04,0,20.0K
Luvocious,2018-01-21,12.99,"0 .. 20,000",Team Syukino,Team Syukino,0.00E+00,2.00E+04,0,20.0K
Tauren maze,2021-02-01,0.99,"0 .. 20,000",MT Games,MT Games,0.00E+00,2.00E+04,0,20.0K
Little adventure,2021-04-23,2.19,"0 .. 20,000",Jony Dev,Enoops,0.00E+00,2.00E+04,0,20.0K
Super Poop,2018-02-06,3.99,"0 .. 20,000",AL-GAME,AL-GAME,0.00E+00,2.00E+04,0,20.0K
Matanga,2019-03-07,7.99,"0 .. 20,000",MATANGA GAMES,MATANGA GAMES,0.00E+00,2.00E+04,0,20.0K
Turok: Escape from Lost Valley,2019-07-25,,"0 .. 20,000",Pillow Pig Games,Pillow Pig Games,0.00E+00,2.00E+04,0,20.0K
Beyond Senses,2020-01-06,7.99,"0 .. 20,000",Sky Haubrich,Pyxton Studios,0.00E+00,2.00E+04,0,20.0K
Wunderwaffe,2018-07-27,1.99,"0 .. 20,000",GiBar,RoBot,0.00E+00,2.00E+04,0,20.0K
Bionic Heart 2,2013-04-01,14.99,"0 .. 20,000",Winter Wolves,Winter Wolves,0.00E+00,2.00E+04,0,20.0K
逆光 Sunwards,2020-04-15,9.99,"0 .. 20,000",黑鸦BlackCrow,黑鸦BlackCrow,0.00E+00,2.00E+04,0,20.0K
Calm Waters: A Point and Click Adventure,2017-06-12,4.99,"0 .. 20,000",Tayanna Studios,Tayanna Studios,0.00E+00,2.00E+04,0,20.0K
Tower Defense - Fantasy Legends Tower Game,2017-03-22,4.99,"0 .. 20,000",Lapusanu Patriciu,Modulesden,0.00E+00,2.00E+04,0,20.0K
Cloudborn,2018-03-02,14.99,"0 .. 20,000",Logtown Studios AB,Logtown Studios AB,0.00E+00,2.00E+04,0,20.0K
UNKNOWN REGION,2020-08-17,9.99,"0 .. 20,000",SYDNEY GAMES,SYDNEY GAMES,0.00E+00,2.00E+04,0,20.0K
Walking Girl: Dead Parking,2020-10-03,1.99,"0 .. 20,000",ZOMBIESTD,ZOMBIESTD,0.00E+00,2.00E+04,0,20.0K
My Name is Sarah,2020-04-19,2.99,"0 .. 20,000","ONUR GENCAY GÖKÇE, HAZAR DEMİROK, FİGEN SU YILMAZ, İREM KAMURAY",DMT PRODUCTİON,0.00E+00,2.00E+04,0,20.0K
J15 Jet Fighter VR (歼15舰载机),2018-06-22,9.99,"0 .. 20,000",Magicvalley Studio,Magicvalley Studio,0.00E+00,2.00E+04,0,20.0K
Dungeons & Vampires,2018-10-16,2.99,"0 .. 20,000",Angry games,ЛД: Новости визуальных новелл,0.00E+00,2.00E+04,0,20.0K
Airstrike One,2017-09-25,0.99,"0 .. 20,000",LillyWelland inc.,Bitlock Studio,0.00E+00,2.00E+04,0,20.0K
Forest Warrior,2015-06-25,3.99,"0 .. 20,000",Inferno Studio,Plug In Digital,0.00E+00,2.00E+04,0,20.0K
Defendoooooor!!,2017-08-31,0.89,"0 .. 20,000",White Dog Games,SA Industry,0.00E+00,2.00E+04,0,20.0K
Elisa Dragon Hunter,2021-12-03,0.99,"0 .. 20,000",Boom Games,Boom Games,0.00E+00,2.00E+04,0,20.0K
Mars Colony: Frontier,2015-09-25,4.99,"0 .. 20,000",HyperKat Games,HyperKat Games,0.00E+00,2.00E+04,0,20.0K
At the Mountains of Madness,2016-03-25,19.99,"0 .. 20,000",Team Clockworks,Team Clockworks,0.00E+00,2.00E+04,0,20.0K
NEW LIFE,2019-08-12,11.99,"0 .. 20,000",Denside Studios,Denside Studios,0.00E+00,2.00E+04,0,20.0K
Diamond Joyce and the Secret of Crystal Cave,2016-09-16,5.99,"0 .. 20,000",Rake in Grass,Rake in Grass,0.00E+00,2.00E+04,0,20.0K
Street Champ VR,2016-09-14,0.99,"0 .. 20,000",Zynk Software Srl,Zynk Software Srl,0.00E+00,2.00E+04,0,20.0K
Nekour,2019-09-03,2.99,"0 .. 20,000",Patrick Sweeney,Patrick Sweeney,0.00E+00,2.00E+04,0,20.0K
Super Cucho,2019-09-23,1.99,"0 .. 20,000",Take Toad,Студия 221,0.00E+00,2.00E+04,0,20.0K
UpWakeNing,2020-11-12,7.99,"0 .. 20,000",Pham Studio,Pham Studio,0.00E+00,2.00E+04,0,20.0K
Converter,2021-04-06,5.99,"0 .. 20,000",Funkyzeit Games,Funkyzeit Games,0.00E+00,2.00E+04,0,20.0K
Elemental Angel,2021-04-01,3.99,"0 .. 20,000",小小游戏工作室,小小游戏工作室,0.00E+00,2.00E+04,0,20.0K
Pitstop in Purgatory,2022-10-13,4.99,"0 .. 20,000",Tymedust Games,Tymedust Games,0.00E+00,2.00E+04,0,20.0K
Super Choppy Orc,2022-11-16,4.99,"0 .. 20,000",eddynardo,eddynardo,0.00E+00,2.00E+04,0,20.0K
GraveRun,2016-09-21,7.99,"0 .. 20,000",W@ Games,Herbi Games,0.00E+00,2.00E+04,0,20.0K
ADONIS,2020-11-13,29.99,"0 .. 20,000","Lorenzo Ent., Michael L. Fiorentino Gutierrez","Lorenzo Ent., Michael L. Fiorentino Gutierrez",0.00E+00,2.00E+04,0,20.0K
Silverworld,2018-04-12,7.99,"0 .. 20,000",Choice of Games,Choice of Games,0.00E+00,2.00E+04,0,20.0K
Grim Earth,2021-10-15,14.99,"0 .. 20,000",George Allan,Clockwork Pixels Ltd,0.00E+00,2.00E+04,0,20.0K
The Midnight Sanctuary,2018-10-03,9.99,"0 .. 20,000",CAVYHOUSE,Sony Music Entertainment (Japan) Inc. / UNTIES,0.00E+00,2.00E+04,0,20.0K
Musasabi,2019-10-16,2.99,"0 .. 20,000",Ludumify,Ludumify,0.00E+00,2.00E+04,0,20.0K
The Equinox Hunt,2020-10-22,9.99,"0 .. 20,000",EvilStar Studios,EvilStar Studios,0.00E+00,2.00E+04,0,20.0K
Eternal Liiivie - EP1 Liiivie Isolated From the World,2020-09-06,6.99,"0 .. 20,000","梅果子Plumko, 純白花園WeissGarden","純白花園WeissGarden, Light of Creators 創作者之光, RMAsia",0.00E+00,2.00E+04,0,20.0K
洞穴探险队 Caver,2021-03-25,4.99,"0 .. 20,000",个人开发,暂无发行,0.00E+00,2.00E+04,0,20.0K
Northern Tale 5: Revival,2020-03-30,5.99,"0 .. 20,000",Whiterra,Qumaron,0.00E+00,2.00E+04,0,20.0K
宥蘿的奇幻冒險 YURO'S FANTASY ADVENTURE,2020-11-10,2.99,"0 .. 20,000",戴永翔(Dai Yong Xiang),戴永翔(Dai Yong Xiang),0.00E+00,2.00E+04,0,20.0K
Parallel Shift,2021-02-15,1.99,"0 .. 20,000",Insightful Games,Insightful Games,0.00E+00,2.00E+04,0,20.0K
clown town 1443,2021-05-05,4.99,"0 .. 20,000",YASSER MAHMOUD FATHY MAHMOUD MEAILY,YASSER MAHMOUD FATHY MAHMOUD MEAILY,0.00E+00,2.00E+04,0,20.0K
Dungeon Lad,2022-03-31,9.99,"0 .. 20,000",Ghost Goats Games,Ghost Goats Games,0.00E+00,2.00E+04,0,20.0K
ColorCube,2022-07-14,0.99,"0 .. 20,000",Chen Jingge,Chen Jingge,0.00E+00,2.00E+04,0,20.0K
