Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Happy Empire - A Bouquet for the Princess,2018-01-14,4.99,"0 .. 20,000",AEL Entertainment,AEL Entertainment,0.00E+00,2.00E+04,0,20.0K
Vantage: Primitive Survival Game,2021-12-02,14.99,"0 .. 20,000",Crystal Dragon,Crystal Dragon,0.00E+00,2.00E+04,0,20.0K
Dinosaurs Prehistoric Survivors,2021-08-13,12.99,"0 .. 20,000",Arcupion Art,Arcupion Art,0.00E+00,2.00E+04,0,20.0K
回忆画册~MemoriesAlbum~,2022-09-09,4.99,"0 .. 20,000",RubyHaruSoftware,RubyHaruSoftware,0.00E+00,2.00E+04,0,20.0K
Dream Coaster VR Remastered,2017-08-10,1.99,"0 .. 20,000",Ignibit,Ignibit,0.00E+00,2.00E+04,0,20.0K
Trivia Vault: Science & History Trivia 2,2017-09-01,9.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
Archery,2018-09-13,0.34,"0 .. 20,000",Easy game,Game for people,0.00E+00,2.00E+04,0,20.0K
Blood Metal,2020-07-17,0.0,"0 .. 20,000",Bluedrake42 Limited Company,Bluedrake42 Limited Company,0.00E+00,2.00E+04,0,20.0K
Happy New Year Clicker,2017-12-13,1.99,"0 .. 20,000",CSM,W.T.B.,0.00E+00,2.00E+04,0,20.0K
Club Naughty,2016-11-18,24.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
One Late Night: Deadline,2014-12-22,0.99,"0 .. 20,000",Black Curtain Studio,Black Curtain Studio,0.00E+00,2.00E+04,0,20.0K
Powerful Courses,2023-03-06,14.99,"0 .. 20,000","Serhii Khramov, Dmytro Pohrebnyi, Illia Ustenko, Davyd Moskalenko",General Script Studio,0.00E+00,2.00E+04,0,20.0K
start;again,2022-03-31,5.99,"0 .. 20,000",Two and a Half Studios,Two and a Half Studios,0.00E+00,2.00E+04,0,20.0K
Dungeon Crusher Kiritan,2020-08-12,11.99,"0 .. 20,000",Akamurasaki Games,Akamurasaki Games,0.00E+00,2.00E+04,0,20.0K
Summer Meetings,2019-08-28,6.99,"0 .. 20,000",Mikołaj Spychał,Mikołaj Spychał,0.00E+00,2.00E+04,0,20.0K
Nightmare Puppeteer,2020-09-21,0.99,"0 .. 20,000",Imagination Rabbit,Imagination Rabbit,0.00E+00,2.00E+04,0,20.0K
Toilet Flushing Simulator,2021-10-21,0.99,"0 .. 20,000",Hunted Media,Hunted Media,0.00E+00,2.00E+04,0,20.0K
Craft In Abyss,2020-09-03,9.99,"0 .. 20,000",FirePillar2,FirePillar2,0.00E+00,2.00E+04,0,20.0K
Nyanco Card,2020-06-25,3.99,"0 .. 20,000",Nyanco Channel,Nyanco Channel,0.00E+00,2.00E+04,0,20.0K
Online Sparkler,2022-06-24,4.99,"0 .. 20,000",宮村あつき,宮村あつき,0.00E+00,2.00E+04,0,20.0K
Little Brother Jim,2019-09-06,2.49,"0 .. 20,000",Tonguç Bodur,Tonguç Bodur,0.00E+00,2.00E+04,0,20.0K
The Living Dungeon,2015-11-02,9.99,"0 .. 20,000",RadiationBurn,RadiationBurn,0.00E+00,2.00E+04,0,20.0K
Wer weiß denn sowas? - Das Spiel,2018-10-18,19.99,"0 .. 20,000",Lost the Game Studios,bitComposer Interactive GmbH,0.00E+00,2.00E+04,0,20.0K
Signed and Sealed With a Kiss,2019-04-30,7.99,"0 .. 20,000",Reine Works,Reine Works,0.00E+00,2.00E+04,0,20.0K
High Noon VR,2017-11-14,9.99,"0 .. 20,000",OctoBox Interactive,Buka Entertainment,0.00E+00,2.00E+04,0,20.0K
大逃亡专家 Escape Expert,2018-12-03,0.0,"0 .. 20,000",刘俊亨(Junheng Liu),刘俊亨(Junheng Liu),0.00E+00,2.00E+04,0,20.0K
Sol Trader,2016-06-06,19.99,"0 .. 20,000",Chris Parsons,Revelation Games,0.00E+00,2.00E+04,0,20.0K
Manastorm: Champions of G'nar,2017-01-03,4.99,"0 .. 20,000",DaGGaSoft,DaGGaSoft,0.00E+00,2.00E+04,0,20.0K
Victory and Glory: The American Civil War,2020-03-31,29.99,"0 .. 20,000","Forced March Games, Electric Games",Lock 'n Load Publishing,0.00E+00,2.00E+04,0,20.0K
Roadside Assistance Simulator,2014-09-25,11.99,"0 .. 20,000",Fragment Production Ltd,rondomedia GmbH,0.00E+00,2.00E+04,0,20.0K
Trivia Vault: 1980's Trivia 2,2017-08-22,9.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
The Terminal 2,2014-08-08,4.99,"0 .. 20,000",FrameLineNetwork,FrameLineNetwork,0.00E+00,2.00E+04,0,20.0K
YOLKED - The Egg Game,2023-04-05,6.29,"0 .. 20,000",HardBoiled Studios,Hitcents,0.00E+00,2.00E+04,0,20.0K
Unconventional Warfare,2022-04-21,9.99,"0 .. 20,000",Nightlife Strangers,Nightlife Strangers,0.00E+00,2.00E+04,0,20.0K
Hadr,2020-10-05,4.99,"0 .. 20,000","Dominik Konečný, Ateliér Duchů",Ateliér Duchů,0.00E+00,2.00E+04,0,20.0K
Virtual SlotCars,2017-06-09,9.99,"0 .. 20,000",PraGames,PraGames,0.00E+00,2.00E+04,0,20.0K
Infernal Radiation,2020-12-28,9.99,"0 .. 20,000",Asmodev,Ultimate Games,0.00E+00,2.00E+04,0,20.0K
Shio And Mysterious Forest,2019-09-11,7.99,"0 .. 20,000",Inu to Neko,Starship Studio,0.00E+00,2.00E+04,0,20.0K
WWII Tanks: Battlefield,2021-12-09,0.59,"0 .. 20,000",SP GAMES,SP GAMES,0.00E+00,2.00E+04,0,20.0K
Close Combat: Wacht am Rhein,2011-06-20,9.59,"0 .. 20,000",Strategy 3 Tactics,Slitherine LTD.,0.00E+00,2.00E+04,0,20.0K
It's Hasegawa-san!?,2023-02-28,1.99,"0 .. 20,000",Mk-II,Mk-II,0.00E+00,2.00E+04,0,20.0K
Coffee Noir - Business Detective Game,2021-09-30,24.99,"0 .. 20,000","DOJI, NAOS Software",DOJI,0.00E+00,2.00E+04,0,20.0K
Brewer,2019-08-15,3.99,"0 .. 20,000",Slava Victorov,Slava Victorov,0.00E+00,2.00E+04,0,20.0K
Levitation Simulator,2022-01-27,2.99,"0 .. 20,000",OZNA STUDIO,OZNA STUDIO,0.00E+00,2.00E+04,0,20.0K
Destroy The World,2019-02-08,0.99,"0 .. 20,000",Nihad Nasupovic,none,0.00E+00,2.00E+04,0,20.0K
21 Days,2017-06-16,1.99,"0 .. 20,000",Hardtalk Studio,Hardtalk Studio,0.00E+00,2.00E+04,0,20.0K
Water Planet,2017-10-05,19.99,"0 .. 20,000",The Revera Corporation,The Revera Corporation,0.00E+00,2.00E+04,0,20.0K
Lodestar,2022-07-08,29.99,"0 .. 20,000",Edenic Era LLC,Edenic Era LLC,0.00E+00,2.00E+04,0,20.0K
Now Man Flies,2017-11-23,0.99,"0 .. 20,000",Epic Fire,DNB Media,0.00E+00,2.00E+04,0,20.0K
War Of The Zombie,2018-04-04,12.99,"0 .. 20,000",Van der Veer Games,Van der Veer Games,0.00E+00,2.00E+04,0,20.0K
Float Night,2018-11-09,1.99,"0 .. 20,000",Meng Games,Meng Games,0.00E+00,2.00E+04,0,20.0K
Heileen 3: New Horizons,2014-07-17,24.99,"0 .. 20,000",Winter Wolves,Winter Wolves,0.00E+00,2.00E+04,0,20.0K
GearStorm - Armored Survival,2019-11-20,11.99,"0 .. 20,000",Iron City Games,Iron City Games,0.00E+00,2.00E+04,0,20.0K
Fire Place,2018-09-21,4.99,"0 .. 20,000","Badru, Michael Bell, Pol Clarissou, Zoe Vartanian, Galen Drew",Ice Water Games,0.00E+00,2.00E+04,0,20.0K
Rugby Union Team Manager 2015,2014-12-03,19.99,"0 .. 20,000",Alternative Software Ltd,Alternative Software Ltd,0.00E+00,2.00E+04,0,20.0K
Trivia Vault: Mini Mixed Trivia 3,2017-09-19,9.99,"0 .. 20,000",Ripknot Systems,Ripknot Systems,0.00E+00,2.00E+04,0,20.0K
Boppio,2021-12-22,9.99,"0 .. 20,000","Boppy Games, LLC","Boppy Games, LLC",0.00E+00,2.00E+04,0,20.0K
Ballistic Mini Golf,2017-10-24,4.99,"0 .. 20,000",Microlith Games,Microlith Games,0.00E+00,2.00E+04,0,20.0K
汽车帝国,2021-08-13,9.99,"0 .. 20,000",Shanghai huan zhen Info Tech Ltd,Shanghai huan zhen Info Tech Ltd,0.00E+00,2.00E+04,0,20.0K
Fallen Region,2020-03-19,2.79,"0 .. 20,000",WayUpGames,WayUpGames,0.00E+00,2.00E+04,0,20.0K
The Farmer Was Replaced,2023-02-10,4.99,"0 .. 20,000",Timon Herzog,Timon Herzog,0.00E+00,2.00E+04,0,20.0K
Laser Attraction,2021-03-17,9.99,"0 .. 20,000",Vectmatica,Vectmatica,0.00E+00,2.00E+04,0,20.0K
Tiny Bubbles,2018-05-08,9.99,"0 .. 20,000",Pine Street Codeworks LLC,Pine Street Codeworks LLC,0.00E+00,2.00E+04,0,20.0K
