Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Crusader Kings II,2012-02-14,0.0,"2,000,000 .. 5,000,000",Paradox Development Studio,Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Dungeon Defenders,2011-10-18,14.99,"2,000,000 .. 5,000,000",Chromatic Games,Chromatic Games,2.00E+06,5.00E+06,2.0M,5.0M
Age of Empires III (2007),2012-01-05,39.99,"2,000,000 .. 5,000,000",Ensemble Studios,Xbox Game Studios,2.00E+06,5.00E+06,2.0M,5.0M
Age of Empires IV: Anniversary Edition,2021-10-28,39.99,"2,000,000 .. 5,000,000","Relic Entertainment, World's Edge",Xbox Game Studios,2.00E+06,5.00E+06,2.0M,5.0M
Northgard,2018-03-07,29.99,"2,000,000 .. 5,000,000",Shiro Games,Shiro Unlimited,2.00E+06,5.00E+06,2.0M,5.0M
Planet Zoo,2019-11-05,11.24,"2,000,000 .. 5,000,000",Frontier Developments,Frontier Developments,2.00E+06,5.00E+06,2.0M,5.0M
Brutal Legend,2013-02-26,14.99,"2,000,000 .. 5,000,000",Double Fine Productions,Double Fine Productions,2.00E+06,5.00E+06,2.0M,5.0M
Total War: ATTILA,2015-02-17,44.99,"2,000,000 .. 5,000,000",CREATIVE ASSEMBLY,SEGA,2.00E+06,5.00E+06,2.0M,5.0M
Elite Dangerous,2015-04-02,7.49,"2,000,000 .. 5,000,000",Frontier Developments,Frontier Developments,2.00E+06,5.00E+06,2.0M,5.0M
For The King,2018-04-19,19.99,"2,000,000 .. 5,000,000",IronOak Games,Curve Games,2.00E+06,5.00E+06,2.0M,5.0M
Hell Let Loose,2021-07-27,39.99,"2,000,000 .. 5,000,000",Black Matter Pty Ltd,Team17,2.00E+06,5.00E+06,2.0M,5.0M
Tropico 4,2011-09-01,14.99,"2,000,000 .. 5,000,000",Haemimont Games,Kalypso Media Digital,2.00E+06,5.00E+06,2.0M,5.0M
Awesomenauts - the 2D moba,2012-08-01,0.0,"2,000,000 .. 5,000,000",Ronimo Games,Ronimo Games,2.00E+06,5.00E+06,2.0M,5.0M
Stellaris,2016-05-09,39.99,"2,000,000 .. 5,000,000",Paradox Development Studio,Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Sanctum 2,2013-05-15,14.99,"2,000,000 .. 5,000,000",Coffee Stain Studios,Coffee Stain Publishing,2.00E+06,5.00E+06,2.0M,5.0M
Surviving Mars,2018-03-15,29.99,"2,000,000 .. 5,000,000","Haemimont Games, Abstraction",Paradox Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Total War: ROME II - Emperor Edition,2013-09-02,59.99,"2,000,000 .. 5,000,000",CREATIVE ASSEMBLY,SEGA,2.00E+06,5.00E+06,2.0M,5.0M
The Escapists 2,2017-08-21,19.99,"2,000,000 .. 5,000,000","Team17, Mouldy Toof Studios",Team17,2.00E+06,5.00E+06,2.0M,5.0M
Kenshi,2018-12-06,29.99,"2,000,000 .. 5,000,000",Lo-Fi Games,Lo-Fi Games,2.00E+06,5.00E+06,2.0M,5.0M
Kingdom: Classic,2015-10-21,0.0,"2,000,000 .. 5,000,000","Noio, Licorice",Raw Fury,2.00E+06,5.00E+06,2.0M,5.0M
Insurgency,2014-01-22,14.99,"2,000,000 .. 5,000,000",New World Interactive,New World Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Arma 2: Operation Arrowhead,2010-06-29,19.99,"2,000,000 .. 5,000,000",Bohemia Interactive,Bohemia Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Banished,2014-02-18,19.99,"2,000,000 .. 5,000,000",Shining Rock Software LLC,Shining Rock Software LLC,2.00E+06,5.00E+06,2.0M,5.0M
Block N Load,2015-04-30,0.0,"2,000,000 .. 5,000,000","Toadman Interactive, Artplant",Toadman Interactive,2.00E+06,5.00E+06,2.0M,5.0M
Jurassic World Evolution,2018-06-11,8.99,"2,000,000 .. 5,000,000",Frontier Developments,Frontier Developments,2.00E+06,5.00E+06,2.0M,5.0M
Men of War: Assault Squad 2,2014-05-15,29.99,"2,000,000 .. 5,000,000",Digitalmindsoft,Fulqrum Publishing,2.00E+06,5.00E+06,2.0M,5.0M
Age of Mythology: Extended Edition,2014-05-08,29.99,"2,000,000 .. 5,000,000","SkyBox Labs, Ensemble Studios",Xbox Game Studios,2.00E+06,5.00E+06,2.0M,5.0M
ARK: Survival Of The Fittest,2017-08-29,19.99,"2,000,000 .. 5,000,000","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,2.00E+06,5.00E+06,2.0M,5.0M
S.K.I.L.L. - Special Force 2 (Shooter),2013-09-12,,"2,000,000 .. 5,000,000","Dragonfly GF Co., LTD",Space Budgie,2.00E+06,5.00E+06,2.0M,5.0M
Last Man Standing,2017-03-29,,"2,000,000 .. 5,000,000","Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,2.00E+06,5.00E+06,2.0M,5.0M
Toribash,2006-03-01,0.0,"2,000,000 .. 5,000,000",Nabi Studios,"Nicalis, Inc.",2.00E+06,5.00E+06,2.0M,5.0M
World of Guns: Gun Disassembly,2014-05-21,0.0,"2,000,000 .. 5,000,000",Noble Empire Corp.,Noble Empire Corp.,2.00E+06,5.00E+06,2.0M,5.0M
