Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
TeamJumpers 2: New Reality,2022-02-11,2.99,"0 .. 20,000","Pablo Heckman, Imperfect Studios",Pablo Heckman,0.00E+00,2.00E+04,0,20.0K
Heterodox,2021-05-14,11.99,"0 .. 20,000",Cosmin Nastasoiu,Phalanx Softworks,0.00E+00,2.00E+04,0,20.0K
Argil,2021-04-20,14.99,"0 .. 20,000",Valkyrie Industries,Valkyrie Industries,0.00E+00,2.00E+04,0,20.0K
P1441vr,2022-01-12,9.99,"0 .. 20,000",Shamigawa Studios,Shamigawa Studios,0.00E+00,2.00E+04,0,20.0K
Wood Brothers Flying Colours,2021-09-03,5.99,"0 .. 20,000",Baawolf,Baawolf,0.00E+00,2.00E+04,0,20.0K
Wild Souls,2022-05-09,14.99,"0 .. 20,000",Halfondarr,Halfondarr,0.00E+00,2.00E+04,0,20.0K
Armada,2021-08-09,0.99,"0 .. 20,000",Game Fruit,Game Fruit,0.00E+00,2.00E+04,0,20.0K
Dash Realm,2021-10-08,0.0,"0 .. 20,000",Endrealm,Endrealm,0.00E+00,2.00E+04,0,20.0K
ATRIA-1,2021-11-30,4.99,"0 .. 20,000",Charge Game Studio,Charge Game Studio,0.00E+00,2.00E+04,0,20.0K
The Monstrous Frontier,2022-01-21,14.99,"0 .. 20,000",Software WA,Software WA,0.00E+00,2.00E+04,0,20.0K
Boat Simulator Apprentice,2022-02-21,9.99,"0 .. 20,000",VSG LABS,VSG LABS,0.00E+00,2.00E+04,0,20.0K
Spirits of Light,2022-01-31,5.99,"0 .. 20,000",Sunlight Studio - Davi Valentim,Sunlight Studio,0.00E+00,2.00E+04,0,20.0K
Sillage,2022-04-20,0.99,"0 .. 20,000",Vludos,Vludos,0.00E+00,2.00E+04,0,20.0K
Space Worthy,2022-06-07,7.99,"0 .. 20,000",GenreStorm Studio,GenreStorm Studio,0.00E+00,2.00E+04,0,20.0K
LOONY,2022-04-26,4.99,"0 .. 20,000",Konrul Game,Konrul Game,0.00E+00,2.00E+04,0,20.0K
Peace Maker VR,2022-05-27,5.99,"0 .. 20,000",TSGames,TSGames,0.00E+00,2.00E+04,0,20.0K
CryptoRIG,2022-09-27,6.99,"0 .. 20,000",HASSI,HASSI,0.00E+00,2.00E+04,0,20.0K
The Questing,2022-06-15,0.99,"0 .. 20,000",ProjectAlive,ProjectAlive,0.00E+00,2.00E+04,0,20.0K
Atria,2022-06-21,1.2,"0 .. 20,000",Studio7,Studio7,0.00E+00,2.00E+04,0,20.0K
Police Scanner Radio - Real Live Audio - Happening Now!,2022-08-19,1.99,"0 .. 20,000",hxr0,goldgames.io,0.00E+00,2.00E+04,0,20.0K
Cat Life,2023-01-06,6.99,"0 .. 20,000",RedMoon Studio,RedMoon Studio,0.00E+00,2.00E+04,0,20.0K
Don't Kill the Cat,2023-01-06,14.99,"0 .. 20,000",Silver Sun Dynamics,Silver Sun Dynamics,0.00E+00,2.00E+04,0,20.0K
That's a lot of pixels!,2022-12-28,2.99,"0 .. 20,000",thatsalotofpixels,thatsalotofpixels,0.00E+00,2.00E+04,0,20.0K
Survivor:Stay In The Light,2023-01-21,2.99,"0 .. 20,000",Light Game,Light Game,0.00E+00,2.00E+04,0,20.0K
Horror Explus,2023-03-22,5.99,"0 .. 20,000",Suzi Scroll Studio,Suzi Scroll Studio,0.00E+00,2.00E+04,0,20.0K
Ghosting Vandal,2023-02-05,3.99,"0 .. 20,000",Daltair,Daltair,0.00E+00,2.00E+04,0,20.0K
Running Robot Man 4,2023-02-06,4.99,"0 .. 20,000",Jackson Nexhip,Slightly Esoteric Studios,0.00E+00,2.00E+04,0,20.0K
Merchants & Mercenaries,2016-11-11,0.99,"0 .. 20,000",Echidna Studios,Echidna Studios,0.00E+00,2.00E+04,0,20.0K
Space Station Loma: OPERATIONS,2017-03-17,13.99,"0 .. 20,000","SpielmannSpiel, bison",SpielmannSpiel,0.00E+00,2.00E+04,0,20.0K
Rules of Destruction,2017-08-25,7.99,"0 .. 20,000",FireBurnGames,FireBurnGames,0.00E+00,2.00E+04,0,20.0K
